Génération 80,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,168447,spotify_france
1,Les Démons De Minuit,3aH9h8vb1pAprXf9EQLiwp,Images,6BGRCwCR7pQWXqWNhBE2vf,Le Best Of,2T2U1wGRh944He0lb0pmbt,47,https://p.scdn.co/mp3-preview/76a4375c53f5e9f8b83774152ec8a9e042781c1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Nuit de folie - Version originale 1988,2pXzTDfEoA19Fqhtl08Hiw,Début De Soirée,3EeGYcRZaklMqgjWNhPrzu,Best of Début de Soirée (Le meilleur des années 80),57LfHmeSkUoS4rImFooP0L,52,https://p.scdn.co/mp3-preview/27a0bd75856def91abd56829a222fabc7a1c732f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,On va s'aimer,41YGJ1rejzU6kfzOCf8hSn,Gilbert Montagné,4qJ1NPJIburUjxcucKOhvu,Best Of,27jNV4OnvkzyaJJw3fATRb,3,not available
4,Partenaire Particulier,0S4dVpqBLnBFj4wdB4UDMd,Partenaire Particulier,5jsIYrxcANUkZQPfCdfEWe,Le son des années 80,4cQIJjzFnwSFIQjz3MFkol,59,https://p.scdn.co/mp3-preview/6cde8545fa2ebc067dcdd976231c6b4651afa051?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Voyage voyage,2d8D7uk3tbAThjRkdfrx9c,Desireless,1yjAx9cww4f1QuAaN3dUI2,François,17EANLCoErHdo9FpzMx25q,65,https://p.scdn.co/mp3-preview/d109434de270728c65f064277a08aa86f3e9b0da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Les sunlights des tropiques,5DwbrhdKbySbsXOo1zPlgG,Gilbert Montagné,4qJ1NPJIburUjxcucKOhvu,CD STory,1fJDHcBtTHl2dIpX1D3aoi,5,not available
7,Plus près des étoiles,0Tlb1fYmKFxAmBD4SbDYui,Gold,0jByDd0pRNXrov9xxc5Hb5,Les Plus Grands Succès,2Wnxp8zDR4e8iOz23WNOyW,3,not available
8,Trois nuits par semaine,3X9XJLwQPWqRnsNaL9z6ss,Indochine,7knmbOGe07k85GmK50vACB,3,0UJYes2guXasGPKbGuCBFu,58,https://p.scdn.co/mp3-preview/ce39a4dce9f6f3faf3269e8544c884bc056485ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Le coup de folie,5fw1wjQHkVFiCho7bkh8dI,Thierry Pastor,2pwVe1rARBwb9VVjcL8XpH,"Le classement de tous les tubes années 80, Vol. 3",29Zmduxn5L2ib7tFnQRUs2,38,https://p.scdn.co/mp3-preview/a81efde777827b906c694e9c68d8b1b3a8568cee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Paris Latino - Original Version 1983,3LCup59DMpM3r6fwQsZMYs,Bandolero,5lh1imF7kkn87IHQsoEjJB,Best of Bandolero (Le meilleur des années 80),0B2tZmiPYlz9Jc1jbupQOX,54,https://p.scdn.co/mp3-preview/58c512173324f8df377abbfb8cb323ca596cfe78?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Ca plane pour moi,71yCMlsD6qbD7NmNUEoVNR,Plastic Bertrand,1KeIof0zqga5ojkmOKg88P,Plastic Bertrand,1wLw41yiDGcZowrw3L3Bkd,60,https://p.scdn.co/mp3-preview/7c7cf670d7afe4ce21cd73cc6e6d2628c22c1f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Capitaine Abandonné,4Q4pPiyRu7NPUoJQg39FXh,Gold,0jByDd0pRNXrov9xxc5Hb5,Les Plus Belles Chansons,2TNZYTlMTUQ7ZcZx0KDwFq,2,not available
13,"Besoin de rien, envie de toi",2xwJmtyYt3tJNl4Ql9DmmW,Peter & Sloane,6REk440jiYtbGdIyi2BjuV,"Besoin De Rien, Envie De Toi",6KHWQW2tGc64o6y7YA79nF,47,https://p.scdn.co/mp3-preview/4c7711e93c957b48a3011169eff29df13ecc0f0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Macumba (Version 45 T),6sgMiV9frxbARmx55zT0ig,Jean-Pierre Mader,0d7c7amZ8BhgmJ55z7foVI,Best Of Jean-Pierre Mader,0hAKhHXBN2pp9ZiC3J6Bfx,42,https://p.scdn.co/mp3-preview/16f2af9650c5fe320b393062b31a19d121c0a65c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Chante,7xlEpc9WAFnjMBWjZ1M25e,Les Forbans,6d3BkI9bZouJ63vdkH3c4l,La Megacompil Des Forbans,5YHfejF82DDwWDvFNqSOZi,2,not available
16,Eve lève-toi,3MPmRgJHfD7CADCibQfNgG,Julie Pietri,4siBlVknVhh8jtVy9jHsDG,Eve lève-toi,5P5GtHwVOmZEVqqapr0F1w,47,https://p.scdn.co/mp3-preview/3b266ea8ea9ad9782037e91c0d4e7f96c98df439?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,L'aventurier,2UC5XnHA1Wn9FjQmbjNca9,Indochine,7knmbOGe07k85GmK50vACB,L'aventurier,7bO2aXCaoPZi6ozNSWFwy6,62,https://p.scdn.co/mp3-preview/3c04bd7df4fb514a87a6b56e15dd159d89217715?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Être une femme,6rulvOmw93NSgtQ53zImLg,Michel Sardou,0krCd0zVANPv9ryri4T0TO,Les Lacs Du Connemara,5yhfUldUD9uHTFezAaaLAo,5,not available
19,Le Bal Masqué,6mB2CTqOIiF18RFSGBJM4X,La Compagnie Créole,4GFqys2YA5hdCl4P2pdX3h,Best Of C'est Bon Pour Le Moral,7BzFMQvwZtV39KOsGT4Ltl,47,https://p.scdn.co/mp3-preview/e63bafe3f82a5dac6f7811ae0d066ccadd603400?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Confidence pour confidence - Version originale 1981,6qfjUmIxPluNISxBgJfvM3,Jean Schultheis,6niV8gUVEBJhjjfb7LmD7W,Abracadabra,6E16zlklECgO6wpYT9mkzD,46,https://p.scdn.co/mp3-preview/a2e024e186ebf221e81ae00eac8eb8ef947a18c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Elle a les yeux revolver,3uXVAyaaYadFSbbj1SQBK4,Marc Lavoine,3K8EYZ4Ltg6ythgGZzrFXf,Best Of 85-95,0FpLSt6Q2HLXdomOYL9oFN,55,https://p.scdn.co/mp3-preview/35e03c23040b9afdae999dd6848c1efe9e3c93e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Toute première fois,4SHIlbYaTolnXdAFAcHGY7,Jeanne Mas,6ItMujsGa113JYrjlfrZXR,Jeanne Mas,6TPcySRXzqREzKh3LaGzxn,46,https://p.scdn.co/mp3-preview/0c47651ff37effa697153d43f0b32a00af97fb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Du rhum des femmes,2NshBYcvc4uYYsBj4vHZfh,Soldat Louis,1xrlEiFyB2fhqJATbGDULK,Première Bordée,0CU38fbBLIOt5e1guJWCfA,39,https://p.scdn.co/mp3-preview/860e02603cb9e1ac57d0ebd0670b89c91332d8fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Andy,1QZ7Co5mBLhAQf9OFk4ovN,Les Rita Mitsouko,7CdlYgtOoxBtNjuDeIxSPM,The No Comprendo,3VnFLQ6pO9MSvVeKv5DHjY,48,https://p.scdn.co/mp3-preview/1047c19695c78771c2cd5afab317c71c6b37bc0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ca Fait Rire Les Oiseaux,1k5W5sE306l2rDTIux3cW0,La Compagnie Créole,4GFqys2YA5hdCl4P2pdX3h,Best Of C'est Bon Pour Le Moral,7BzFMQvwZtV39KOsGT4Ltl,47,https://p.scdn.co/mp3-preview/3188ef0b9ce179bd4148980ebacd234a59adeda5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Africa,1YXH5a44usvJyNKeMt8NMo,Rose Laurens,5yHrAQeiQbwIqGHInzdYWM,Africa - EP,4NR83WiSh5Zs9jL1VtkpRr,43,https://p.scdn.co/mp3-preview/97052b8b212605864f2f944d8c019bb8a55b1651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Les valses de Vienne,4MTCNjhonKLRb8WIHpTTy8,François Feldman,3marwXSwSzZctZtvg35LOe,Best Of,25bmlyAK19NFZ7QHIZZrsi,2,not available
28,En rouge et noir,1Gcv4C4s4aJTtm8THwEdFN,Jeanne Mas,6ItMujsGa113JYrjlfrZXR,best of jeanne mas 2004,4pTDSN6BHeCYXI3hkojANx,45,https://p.scdn.co/mp3-preview/e4b9b29a40fd8fc2852c0e6b105867b5354f2e28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Encore et encore - Remastered,2KzUa9x2TNzHVsx4sVuHsx,Francis Cabrel,5uo5NwSONVNfvSHHMQrHAv,Photos de voyages (Remastered),6Mhp0Fb0RoraaLNZ0fFRwR,57,https://p.scdn.co/mp3-preview/16d5ffe8162af1b62ce0736fde3521483fd4b3a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Le banana split,67IqnuAkobMaPub7lGGcN5,Lio,48sZWxnqspohWtxJNg7OsI,Je garde quelques images... pour mes vies postérieures,11LefkOl8xHR2L8MQj2vJe,42,https://p.scdn.co/mp3-preview/b53d1d2cdb801614f95e4620a9e9441e7c6a6d4e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Il est libre Max,0ZuHb82X30zwYP8TVnIi8K,Hervé Cristiani,4ml7309NlaZaAHeBUOThVx,Les inoubliables de Hervé Cristiani - Best Of,5X7x3uX32XtxdhBcMohjNA,45,https://p.scdn.co/mp3-preview/d4ab3b8105c16abc99a566315d4ba3de721fc7f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Nuit magique,4XguFCQNeBYU4IrGQXr51I,Catherine Lara,3eFOtlrhUuKPOrO2JlM6AS,Nuit Magique,4lWltwWBnNxX22ptxDUyFN,2,not available
33,Ouragan,3hGYFrIVVvhfgUTpcI7msg,Stephanie,16q1X9q6DxoNdqPQlYwxgM,Ouragan,3xcgNTsjvidQWtZ60jQ7qA,27,not available
34,D'amour ou d'amitié,7o4JMsKg9Et6s0qb6jWmof,Céline Dion,4S9EykWXhStSc15wEx8QFK,On ne change pas,5uIfKRSjRf70LnCTCw2jJO,51,https://p.scdn.co/mp3-preview/c738482e413b789a5840d4c5b5c9085799e635f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,T'en va pas,6JCIbXPH5LIawW4NRLvYE8,Elsa,4Uk5eLOfWucThb2X4QLcX1,L'essentiel,0jfDIK7wBs6kp2RbEy3iym,47,https://p.scdn.co/mp3-preview/00dd8fc346ffa95647b7f97504d2b9c0820db0b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,L'amour à la plage,4mII9EfvzMukROnehYgqG3,Niagara,4oJ3WVkGXRBtRC0YaqMKxU,Encore un dernier baiser,1fNkoxAk0qg1tWuqDkKDDN,53,not available
37,T'as le look Coco,0USMoEDQ7ys9NzrIXamgdY,Laroche Valmont,65m1wGOxY1xTzvDr51BsFH,Le meilleur des années 80,2UhpNYeFAj6RtuiJbKfOlm,36,https://p.scdn.co/mp3-preview/9e6ff7f09df49fb4897131ada9e1a6e559fde136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Joe le taxi,1nazrrUvlyrT5ZiOe6c6ih,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,M & J,6AzbqBv06i1Et6IR84yfEr,14,not available
39,Cargo,60WiEteADDUQKn62YIrlBx,Axel Bauer,7H9BHRpRnP55YwZpFLAVmd,Cargo - EP,6qDDn1u921qNWzS8FqHfk5,46,https://p.scdn.co/mp3-preview/9c0821e0b6cbd479aa67d42ee0cedea2ab7e1f92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,La groupie du pianiste - Remasterisé en 2002,496eQC5FPo3dmfNRXPcmps,Michel Berger,5skauLarl8sqqUFypECtP4,Beauséjour (Remasterisé),0Y4vMNL3oLTxyWBBmIm0cA,58,https://p.scdn.co/mp3-preview/395b3097c41ac4b9eec106d5916dd5b6cee607f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Sans contrefaçon - Girl Remix,5Yes6Ksaofte9jmQqUy0Gp,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Ainsi Soit Je,49vEIcTHLTBaXbY0Ab9T9P,6,not available
42,Tous les cris les S.O.S.,4XiWkm4Ug9LlP8Kxt5QIeQ,Daniel Balavoine,28IqYhzq3UU46bbY0mRgn7,Sauver L'Amour,6j0ljIcSqlWGARW0CdrYMw,53,not available
43,Sauver l'amour,5yFJNlGmmMvD1iJHfcOM9F,Daniel Balavoine,28IqYhzq3UU46bbY0mRgn7,Les 50 Plus Belles Chansons,1TY9roXGW9yUby9khOVzqf,39,not available
44,Chacun fait (c'qui lui plaît) - Version originale 1981,1yxezWuLTKCn8jyB4OwGVl,Chagrin D'amour,1LTi4SuPK0G9juYKxU6AAG,Best of Chagrin d'Amour (Le meilleur des années 80),0KwnMIcmRs8CnghLWzOdVK,3,not available
45,Boule de flipper,1S0SNWFuMJOnruRgIklPRg,Corynne CHARBY,0g3UZ5TKLKBB9m35O8KAm3,Boule de flipper,0lzuBZIhhzpooxF2dR9sPk,36,https://p.scdn.co/mp3-preview/62ee7c52519dee6489d4f6f9de590c6b3a39f7b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Libertine,6WjOjG7ujOd4uCv4wQvMjV,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Cendres De Lune,4tWO2hIvgjP9J6ZaZHW4cD,51,not available
