The Pop List,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,SHAED,3KwmxIhSe9UTSEF37kwngR,Trampoline (with ZAYN),5QqqBZmdQmY1MvlnpBkagB,83,not available
24,The Last Time,1maoY6K6fsTEv9fhXhBL14,The Script,3AQRLZ9PuTAozP28Skbq8V,The Last Time,7hKlP3f3yyQjizcUIKWvZk,74,https://p.scdn.co/mp3-preview/a01724234b85486ecd51a9033b18b6ba8b08e8d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Younger,4D7ERaKgv8NAeck8RzUtRz,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Younger,26IuzA897QHyOQVYBWXtTD,77,not available
26,Freaking Me Out,7uYIX9O9DY6l1D3HiwHR1J,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Freaking Me Out,6C9mRkY2IYqnebz1dk40Qs,77,https://p.scdn.co/mp3-preview/c10db3945fab5325811a77d77497dd2c286bc12d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lie,27NaNvlmvOHqTF0VPjuRSD,Lukas Graham,25u4wHJWxCA9vO0CzxAbK7,Lie,1qZDkipk2XWaJ6aoEvJwAm,71,https://p.scdn.co/mp3-preview/218700f7fb105c733f712c66367aaf2649f10dce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Without You,1SUbExhoNkAI1SnLNIhh8M,John Newman,34v5MVKeQnIo0CWYMbbrPf,Without You,6pUAHkIrX7eacyG83ZlVxU,66,not available
29,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,Nice To Meet Ya,3KrYBAbfxlssMirZLs6HzZ,79,not available
30,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,Zedd,2qxJFvFYMEDqd7ui6kSAcq,Good Thing (with Kehlani),3wpdeV1FZfiEnelZSfAFp4,83,not available
31,Papercuts,4WrGjqeop80xC3GJG9vgmF,Measure For Measure,4pKeCzDi1AxufHFq8KD3uI,PaperCuts,17jatxKSWmSe1eirFloE2I,48,https://p.scdn.co/mp3-preview/644fe55038146c920f7a3db410bdf98dd8d8c6bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,55,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,61,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,All My Friends,70pP6E6VvznsfrSsznnQnk,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Without Fear,7jGNAMzrW5HMXdxl9XyBMG,71,not available
35,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,boyfriend,3zVB99XMdbP9HTVNg0GJwV,94,not available
36,Wanted,6hLkeOMrhZ2CMLBp2of576,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Wanted,19xtr8RaBkQNaDaNmXnVDj,83,not available
37,Too Hot,29QrzCnJ8r5aPamLBADZLx,Jason Derulo,07YZf4WDAMNwqr4jfgOZ8y,Too Hot,3vdeikwL4bI0Zg80tBN6EM,71,https://p.scdn.co/mp3-preview/70fd5fd69c6e012b32da52a7a0834cdfba607072?cid=fa83a2fec7c440b7a2795d600d6b2c7e
