Who We Be,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,550896,spotify_uk_
1,47 (feat. Stefflon Don),15rEEVR9tYJS4hbubgS3u7,Sidhu Moose Wala,4PULA4EFzYTrxYvOVlwpiQ,47 (feat. Stefflon Don),5pCqjR7JPOm2CLasRDtn1E,47,https://p.scdn.co/mp3-preview/e4dda4eea77c024f40a5abf7e1a01b9f28ee8200?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,66,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Buss Down (feat. ZieZie),0kfp6rRddGkoyAhosSeZLS,Aitch,2PJEagPIxaBugeMjIyKVXF,Buss Down (feat. ZieZie),3GXahpmgm1UzAxyeL9CDdc,68,https://p.scdn.co/mp3-preview/1bb18698f8304f6a2ad120d2b50a65b09254aedc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Wiley Flow,1Iv4wC88uxeAF7SmQQGx3X,Stormzy,2SrSdSvpminqmStGELCSNd,Wiley Flow,6GnPOzkkAlFUmxrwnp1yjf,77,https://p.scdn.co/mp3-preview/8aaf9a7c021af85a4c3a7c817c1f30bc52ddd2ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",26BkXpWAaajgL2Eh9TA95B,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,"Givenchy Bag (feat. Future, Nafe Smallz & Chip)",3kMflVVnVzgLP7EjQbidFU,66,https://p.scdn.co/mp3-preview/d01dfa82d8607294ddeb3b901df46142bb6bc545?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,2/10,2rBRIx8aDZkKEENOkgUQxY,Tion Wayne,7b79bQFziJFedJb75k6hFt,T Wayne’s World 3,62oGQLMIPmItZq8BppBszg,49,not available
7,not available,not available,not available,not available,not available,not available,0,not available
8,Both,15nKLSvslk7jntDkxIdYmq,Headie One,6UCQYrcJ6wab6gnQ89OJFh,Both,3FuJaKGB7K7TVU5vdNXMbQ,75,https://p.scdn.co/mp3-preview/b29a54252d425b73b59c117dd65a1d722e477e62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Nookie,141GIDaZBy7Bn3I2NAFR31,D-Block Europe,5VadK1havLhK1OpKYsXv9y,Nookie,3FCj339Jn0Bcsu3Emnrkv7,73,not available
10,10/10,3jpBbvNLKSde35OHIWsrM0,Wretch 32,0T2sGLJKge2eaFmZJxX7sq,10/10,24FZ3IMWeoqHqquevk9mof,22,not available
11,Trust Issues,2cgELeRnPeDFuGrY96Lj6m,NSG,31Ua7zSTJxegjyd49ujbSA,Trust Issues,3pVRk6iyvY8RDu5aQl8P41,65,https://p.scdn.co/mp3-preview/9613344662a8cc16ee71afb393a90154c7f4f556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Maximum,0eTUh4JHjK4zHTEEB3gxcl,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,Maximum,7cLNt4D7pBZ344vsTQbiLc,59,https://p.scdn.co/mp3-preview/0ce59efe93c612fa5d21f6fce2e598633617880d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Pretty Little Nike Airs,7BCgZAsDRFETcLOM7Ofcod,D-Block Europe,5VadK1havLhK1OpKYsXv9y,PTSD,4dnKBBeSoiEc39sCqItmWk,65,not available
14,not available,not available,not available,not available,not available,not available,0,not available
15,Crazy Life,7A7JJmUjfOkxrrqiNneHA1,Cam Wild,3B2UGPQpqCxaQYMbShrgmn,Crazy Life,6TocVeXmTHcMLO1C1PDSPT,5,https://p.scdn.co/mp3-preview/ff296f217d2ca77c0da63626dae0a624e914b9ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,4AM in Coventry,2BNgc0c0zXaHpao46xzqit,JAY1,0BKx4UjPvXVGY15u0xFbbi,4AM in Coventry,0X13k899pLN1iVd1ywBgi8,70,https://p.scdn.co/mp3-preview/792cfc38dd32741a276b39942841e0b883d08440?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Bad To The Bone,4XJgRFxCFO4II4HjZGIgLs,Nafe Smallz,3dKjmeRZcSUw617CoMzEA0,Good Love,7pzJo7BRoSanlNNHUWHU0M,67,https://p.scdn.co/mp3-preview/455bc84ad95210bf017d4aa94516d7c24fffb344?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,2 ON 2 - Tion Wayne x JAY1,7qpT8DqrXsHjsjjd4PSe6q,Tion Wayne,7b79bQFziJFedJb75k6hFt,T Wayne’s World 3,62oGQLMIPmItZq8BppBszg,51,not available
19,Brixton Boy,6ObG995dFhWJWmF7x0plhM,Skengdo,3LmkRGuUav9Un8TDMjwKSg,Back Like We Never Left,38FU32psYk6mJyxc0Af1ls,49,https://p.scdn.co/mp3-preview/edde8ec51aa5eef10de4c8ec54af881366765f1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Taste (Make It Shake),3evfXgwjSY5zuFxAHjMW5S,Aitch,2PJEagPIxaBugeMjIyKVXF,Taste (Make It Shake),3UYTTkehFbvlVRrNcdUq6Q,80,https://p.scdn.co/mp3-preview/e50080c1e0083d90d2d8b8bb1c3a54a86e2eedf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,LOWRIDER (feat. Ghetts),6t57LM8leWhH1tOSEcloRh,Ocean Wisdom,0D9N9NxMbXKjmoRI1JVdz8,Big Talk Vol. 1,1sZtB2VSS5sZewLUqFOxi8,16,https://p.scdn.co/mp3-preview/43f62ac2b31b2c0be6f7fc0d7a96bb3c6c2175d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Attitude,69QPbdYc6Ot6EZRdjSx1GT,Fekky,0lVH4ReyYkoPMxFDzCQSgO,Attitude,6mawG0zU2Wesz5UjIlCSvd,62,not available
23,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,Drake,3TVXtAsR1Inumwj472S9r4,The Best In The World Pack,00HZxSA1sOS9T3nA950sg4,93,not available
24,Professor X,6qvfyXGXEPEYwwqBykWw3H,Dave,6Ip8FS7vWT1uKkJSweANQK,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,71,https://p.scdn.co/mp3-preview/b5b9a38563fd1b4320159765f6d6033a24ba4107?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Like It (with 6LACK),4CNzuSQoL5jgCxzYmuMvcz,Summer Walker,57LYzLEk2LcFghVwuWbcuS,Over It,1qgJNWnPIeK9rx7hF8JCPK,72,not available
26,Elastic,2pTgfhkctFTK9wyvPeCIzK,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,65,https://p.scdn.co/mp3-preview/b4b31e11213a4353ad497bebbc95affb94e14a24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Sounds Of The Skeng,7fuSDngvlH3PJs3MbKVWNu,Stormzy,2SrSdSvpminqmStGELCSNd,Sounds Of The Skeng,46FcuBwXjApRxo41rkScqV,75,https://p.scdn.co/mp3-preview/2c758dd49d0df7e33ec70cc66ce66a79457902df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Joro,3Yt1ovsh3v3VEzRuhI1TL5,WizKid,3tVQdUvClmAT7URs9V3rsp,Joro,1Mj4mLvCC9P4b167keUsRh,64,https://p.scdn.co/mp3-preview/269db9db4e3302b9a37957f442cbd082ddf68639?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Writing on the Wall (feat. Post Malone & Cardi B),7x9nXsowok1JszkVztI5NI,French Montana,6vXTefBL93Dj5IqAWq6OTv,Writing on the Wall (feat. Post Malone & Cardi B),2ZoLcA4NMOjJGFKeANgNpF,86,https://p.scdn.co/mp3-preview/6c8eb657e76ea1d0a774627794cfbd8a247f46e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Behind Barz - Bonus,5r7WvQtyPfy1xch5zMgGRp,Drake,3TVXtAsR1Inumwj472S9r4,Top Boy (A Selection of Music Inspired by the Series),334X6XoNKUzpAQbm5FPsMh,84,https://p.scdn.co/mp3-preview/73e9e47faa119ff50413dc7068362cbc1aef6c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,SKRR (feat. OFB),0eoBz79KtUGtpS3Tm8Zqst,Yxng Bane,5AbLpsnTQVNB3OEadYiVrK,SKRR (feat. OFB),4ijkb0K98NK0nOcXxtVvIz,62,https://p.scdn.co/mp3-preview/98eae58fb90d48b73149e27e297dafe8c8fc64e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,INTRO,05WepN8vrMLJG5r8XRdLeL,DaBaby,4r63FhuTkUYltbVAg5TQnk,INTRO,3HzUH9fh5DExUQXfIAt9wI,78,not available
33,Change (feat. DigDat),0azSeNc3H1uS3nDCbsaoJY,Deno,58ICshZ0AgBMNJiLHK3U8l,Change (feat. DigDat),7cXE0GM3s9IFbLw8rCZRx4,67,https://p.scdn.co/mp3-preview/d062e2e20dd7c0f65b09a6e660bbf4c18a334048?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,Bandit (with YoungBoy Never Broke Again),3t6Z2qoBVCS4NHNI25XECH,86,not available
35,Buss It Down,5TInrshC2rQw7PbYgpBN75,Big Shaq,7mnAzEmgquhrVtGob81SmO,Buss It Down,1lAJxksjoCL6pIPg5sX312,50,https://p.scdn.co/mp3-preview/67f9dc5f03f4b36a44126f163e0c162a73681c85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"2 Cups (feat. Popcaan, Fredo & Tory Lanez)",0qQFyJw6mbLyzWSWmx1poL,Stay Flee Get Lizzy,2oZq6t5DkE2BdGbD6x8RXh,2 Cups,3c7jZnPFvxVVx2RGK5EDyN,67,not available
37,Fake Love,76r9pAZo75YMiC4VE9HoOX,Yung Fume,1h5mZb0u9bcFGeViohj87o,The Other Way,3D2iaJIbD9Lvgplia3oJVq,48,https://p.scdn.co/mp3-preview/dc5f9808414b77cc7d0035a214a697eb77d1e408?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Walking On (feat. Krept),1KHqs8ZvMsHpf4deIgR7Hj,Deno,58ICshZ0AgBMNJiLHK3U8l,Walking On (feat. Krept),0JTw9vFthMJ6QoC5X5oQ8D,55,https://p.scdn.co/mp3-preview/a6c64c8bc6c81eaf9cbba3ed38e2c994a7b52184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Stolen (feat. Mastermind),5hzJSCEY1UPOoMSFldqNEn,Ayo Britain,2KbB3gtN7iijePsEhtK438,Win The Race !,3tBzM3HUA88kF0WE9YbaL3,49,https://p.scdn.co/mp3-preview/db981991ea25ceb4a007b4086ef20d334cdb657e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Make It Home,0MbDh8QEQuZK1ikvSWbdlk,Stay Flee Get Lizzy,2oZq6t5DkE2BdGbD6x8RXh,Make It Home,2yAVRu0xsnKgCpPGarIuZ4,39,not available
41,Bad B Bop,5blPMqkukiOojuWW3RhCVv,Ms Banks,4imxqng3RrOBmykL2DhIJC,Bad B Bop,4MmDqYR2Pj6JKTPSRcV8w7,48,https://p.scdn.co/mp3-preview/d0ec894160d4cfb13bfe90da9a6b0db4ac665c76?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Pamela,7paIQiGQJXm3ROXPSeA2xv,Ay Em,1IiTy72Esd2mIfGuvsvdQB,Pamela,0XmJdkrKg2OsUWxppbXU2R,56,https://p.scdn.co/mp3-preview/8cd951b8ad62087d2c5db8def7886e2be99db845?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Too Bad Bad (feat. Mr Eazi),46B65q1LbqKB9ikpuGMI6D,Shakka,7fqDRFkiuwzFDde1K0taVs,Too Bad Bad (feat. Mr Eazi),5vZve4QjlsMH4YGVRAT9GO,61,not available
44,Early,6AcFiVsHvDtat3rmHNK2Nf,Joy Crookes,5XMyhVhi5ZN2pi0Qwi1zXS,Early,5Q7XISk90DAYHFghAvKYI9,54,https://p.scdn.co/mp3-preview/912d9f1fd69b80465bebceffd3fa01b421d64696?cid=fa83a2fec7c440b7a2795d600d6b2c7e
