Roadtrip To France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,19648,spotify_uk_
1,La ritournelle,7ax7TxFmL5cbfzeVnf2XVl,Sébastien Tellier,23ymPLjbtAMzTJS2qRtQ8Z,10th Record Makers,1C6tKudjHXNR40b3CCkHha,25,https://p.scdn.co/mp3-preview/7d7f4eea8b6930809247884cd5d037e553033d24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Papaoutai,6MvTH94jL3GxlVFO5Ssk1L,Stromae,5j4HeCoUlzhfWtjAfM1acR,Papaoutai,2xRe9mmfri504WSlahuqXQ,4,not available
3,Quelqu'un M'a Dit,13McnYo2bDvC50ZS8BFROF,Carla Bruni,1HVwzNriKEjaeE06okqSpx,(500) Days of Summer (Music from the Motion Picture),2QVQ9jDMP7FTYMnIhcC4gk,6,not available
4,Madonne,1UY1hTiBU0hz5EvBT86maN,Mina Tindle,1myZw5gJTFWZUrqv4Qdq2E,I Command,4Lv8fOzwkGLceC6lS96dWY,12,https://p.scdn.co/mp3-preview/b191b6b8086438f369c86193a477bfd0c71a303e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Nuages - avec le Quintette Hot Club de France,06MbYREPut224KHBRjyiYM,Django Reinhardt,5Z1XZyEFY0dewG8faEIiEx,The Best Of Django Reinhardt,6n4MbIocFJ9oHFszyhN1uF,26,https://p.scdn.co/mp3-preview/519b0f6a98cef84c08d8c722c7566cc0c836b808?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Marie,4eTumWQd8YyOG4C8iktcop,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,A La Vie A La Mort,6pt2sQ3usaD5g17qW35oRx,0,not available
7,Ce N'est Que Ma Secretaire,2Utan8vAEC6UvBTl18E6QF,Pamelo Mounk'a,7bSwWhMO3SGjXUbUljIeH2,L'Indispensable,137X7laY5Gix3xUyDvas6x,0,not available
8,Pour Le Plaisir,3zKyTi8VYdaaNs42DQbLMu,Herbert Léonard,2VsTgQUocqoaXjLG5YerlB,Années 80,65cIV3m5T5U4mRtwFYWZRP,27,https://p.scdn.co/mp3-preview/973c466dbc48f4f316ada5adb05f73310052c6b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sunday Girl - French Version,42S4WTjAQCG8PKCMj89Z5G,Blondie,4tpUmLEVLCGFr93o8hFFIB,Parallel Lines: Deluxe Collector's Edition,6raionWfBxaJphE3mc8Y4h,23,not available
10,Coquillages,5ABpez3B2RlVHlMgc2vTDq,Marianne Faithfull,7mlge4peaoNgzTsY6M32RB,The Collection,6IteMc2F0f5sY3qGWrbIAt,0,not available
11,Je veux te voir,3FWNuDQuMM5EQedw1E00Rj,Yelle,0WbqAlM1WvfUD6dF7omThd,Je Veux Te Voir,3SmbOt7gRMLIHD7OO147hC,27,https://p.scdn.co/mp3-preview/9b0b9fc3fcc521278b1ddd980b7d5f7b179c2228?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,La maladie d'amour,7jEU2PWW32lv8DIfDdNtap,Michel Sardou,0krCd0zVANPv9ryri4T0TO,La Maladie D'Amour,2VS8g9qRPdXFC3hQSIwmqK,8,not available
13,Sans contrefaçon - Girl Remix,5Yes6Ksaofte9jmQqUy0Gp,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Ainsi Soit Je,49vEIcTHLTBaXbY0Ab9T9P,6,not available
14,Comment te dire adieu - It Hurts to Say Goodbye,29GuoJqjg7aMxUmEO3XLEp,Françoise Hardy,7x3f7c0fBanNlQwpx1255g,Comment te dire adieu ?,5lX198dectE8fpkow4UXrf,60,https://p.scdn.co/mp3-preview/2be0b0b47e6fbc45a7a5f62ccd12098f1d92a8fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Joe le taxi,1nazrrUvlyrT5ZiOe6c6ih,Vanessa Paradis,1FmxE030Xe2H8Bn9bdv6Pd,M & J,6AzbqBv06i1Et6IR84yfEr,14,not available
16,Get Lucky - Daft Punk Remix,78NwNb2BPO7OKDYYRWB1WT,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,Get Lucky (Daft Punk Remix),4IjfJlYFVmkPH5WQdFuyS8,38,https://p.scdn.co/mp3-preview/b1be82f36737cd832f99f7c58108bcd2437a5ede?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Aline,4wzDjfSyQ2MeKdTMnh5VJO,Christophe,6MmRTVIPIe35OsFqWgRKQJ,Aline,3yF3i2FTQVJQKrzvyKtrzr,0,not available
18,Chante,7xlEpc9WAFnjMBWjZ1M25e,Les Forbans,6d3BkI9bZouJ63vdkH3c4l,La Megacompil Des Forbans,5YHfejF82DDwWDvFNqSOZi,2,not available
19,Belle,2ZGl2RZgnkvO2gcmMrrORn,Patrick Fiori,18PkzXDURSTyGZTg9w66qq,"Notre Dame de Paris - Version intégrale, acte 1",0rfs8rhKsVsnKnwscx9cdY,42,https://p.scdn.co/mp3-preview/c2653d890ef41be88e44c40650185130c45e994c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,La jeune fille aux cheveux blancs,5SNGLq4ktp6H8lzCcnOTmd,Camille,0gOsZcHl7H3ewXVIEnWFZX,Le Fil,5xsOgTp8jHugOGwtWc50xu,0,not available
21,Je T'Aime... Moi Non Plus,2bCG59koH6sWivJ93RqzUb,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,Gainsbourg (Vie Heroique),11LuLGt78NwpYdUoFizkpi,0,not available
22,We Are Your Friends - Justice Vs Simian,49ErwcBYfYRPNBdRuPvpYA,Justice,1gR0gsQYfi6joyO1dlp76N,We Are Your Friends,1M9rUTZKBvDhKIqK9rNxLi,61,not available
23,Je pense a toi,0w4Veou29BqgCscWUXQogj,Amadou & Mariam,3KH7WsR2JZQ94Ik8SyabU6,The Magic Couple,3D9wJtQ2JGmslrFKmXsVwA,29,https://p.scdn.co/mp3-preview/026c1b28db14b2202e649c83f2f9ef561f638956?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Complainte Pour Ste Catherine,20aOR42le3CeSTk1WJJvU0,Kate & Anna McGarrigle,7krh6ZjG7i7jvLGiG3YNJF,Late Night Tales: Metronomy,38FXfSqYZuKGGV8roJxHha,0,not available
25,Sexy Boy,6INLpBxo9F5QMer04VXEnd,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,5dmYtZVJ1bG9RyrZBRrkOA,60,https://p.scdn.co/mp3-preview/526a095e534761d1856daecc8a7c500858714768?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,La bonne du curé,0Nifw2uQUhNb9FoHbUoNjX,Annie Cordy,3qkV6gvoRmKLMuRFuBd2Ot,Les Plus Grands Succès,0Q4wWcUHzNtwygHomPKxF0,19,https://p.scdn.co/mp3-preview/17e54207e14a85cd4db4f2fb306ff06565207d34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Partir,1FSPrqmbgCxKT9VXYFVLKN,DJ Mehdi,5ffMSKGQRhetAjBjEgkRun,The Story of Espion,7IXyWJ8u6nyz80mumzf67e,13,https://p.scdn.co/mp3-preview/f53890a7700422748a193ef85c65cfdc0a8c05b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,L'oiseau Et L'enfant,2x87tLX7gAlOKzbimD415Y,Marie Myriam,0wii8BDuICYKZfGicr0MCa,Encore,1R7egDZrWxVDGPtPFINLzk,0,not available
29,Nous,7o1sksY3L3oSGrVXI6XMXg,Hervé Vilard,1HkC0LOaynhYSGcNklyIcd,Les 50 Plus Belles Chansons,1NfRNf2XlZul9LzaaPna2u,2,not available
30,La quête,2byGkxQHCQvmsF50sRQmEJ,Jacques Brel,4RN2vlFWepLa46qQIU2PHs,Infiniment,5NwlXR5GbA10N4cZ6qViRf,0,not available
31,Belle Demoiselle,4prNHQCgqVpmGJRulNK4zg,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Mon paradis,6rpAch0Mi47JkOmyie7rxK,53,https://p.scdn.co/mp3-preview/7ecd4763e90c7e945fa81b678f0210e93fa2f7ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Week-end à Rome,2KLXzkk0Qcsg2OpQ00SUB6,Étienne Daho,5aDKJuLDczfmHfRSOmHCJk,Best Of - Daho Singles,0LuDyLoFAq64pK3gQClJVc,1,not available
33,Formidable,4z70Px77quweOupQRiaG2Q,Stromae,5j4HeCoUlzhfWtjAfM1acR,racine carrée,4WW3ME0M2dUoAK5hmbXsN7,15,not available
34,3e sexe,6MShyf3EUHqQ04kJzovIni,Indochine,7knmbOGe07k85GmK50vACB,3,0UJYes2guXasGPKbGuCBFu,48,https://p.scdn.co/mp3-preview/da5864391bf5d8bb54d8faed2eb55a1e930bc116?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Désenchantée,3Znw6uf5RObcwcXK7DDuyq,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,L'Autre,35oeDD8qQMFl7xznpqymDc,7,not available
36,La femme d'argent,3ZzhV6JIDKWvWR7wiKWD0C,Air,1P6U1dCeHxPui5pIrGmndZ,Moon Safari,5dmYtZVJ1bG9RyrZBRrkOA,60,https://p.scdn.co/mp3-preview/34c0a82ae981cda5729e8621225ed9888fbe61eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Un Gaou A Oran,3bm05gBRMloCF4BV4p8m19,Magic System,6MvRVq0CtpQQlwnIiszV8F,Cessa Kiè La Vérité,5GgXPRqxiAjdQXbcISte1T,0,not available
38,Ca plane pour moi,71yCMlsD6qbD7NmNUEoVNR,Plastic Bertrand,1KeIof0zqga5ojkmOKg88P,Plastic Bertrand,1wLw41yiDGcZowrw3L3Bkd,60,https://p.scdn.co/mp3-preview/7c7cf670d7afe4ce21cd73cc6e6d2628c22c1f14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Ainsi Soit Je,6h4Z3a9YafikHZwQPONeyJ,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,Ainsi Soit Je,69x2VirNYhaRWQDxV1EX7F,42,not available
40,Victoire,6xyKzUbzO1IL5eZEpWVTsl,Shy'm,3nXQmlliJxvfXOm3naZf3B,Mes Fantaisies,1ZIj6KoQwHYoRXoPBoDC9f,34,https://p.scdn.co/mp3-preview/6ca366d7edfdd702b84dde32f9fcf51cae006e87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Non non non (Ecouter Barbara),10Os3huy3eXl0mkl7rRIvh,Camélia Jordana,2XkCa3HcntokIgOP5N3QO7,Non non non (Ecouter Barbara),6Ml8mSnUWQjx2jODJsE7Kw,25,https://p.scdn.co/mp3-preview/c733327122408739d347343bcaae7101d84bd0d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,"Par amour, par pitié",12cSKyIl1V0TOVuUcWMSRU,Sylvie Vartan,3Zi9cVUyWeAFjxEHn3bCqZ,Les Années RCA,4wR07HrYixaTeuQWDdOwu9,9,https://p.scdn.co/mp3-preview/03315e145e54779c78ca93060aa337977d8c8328?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Contact,61PVuDsekBWJ47AHbc33BM,Brigitte Bardot,1q24xIsAD7JZuVkTLR9TJy,Les 50 Plus Belles Chansons De Brigitte Bardot,5D3SD2dxEH0KGlMASYEVgl,0,not available
44,À quoi sert de vivre libre,1n5bzmv71Kek6otQ2t0Wsa,Nicoletta,1XspV6teuaJMwVq0QBXZA0,Universal Master,5Gwz70kBZun3hAbOmH0ueQ,4,not available
