New Pop Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
23,Baddie,2pcT3kabGBdmnlOyFrrJUt,Emily Vaughn,3G9gR0x4v3J2Vek0Fw0yf2,Baddie,7rTTYEPibQsnzCmL6B0YN1,38,https://p.scdn.co/mp3-preview/b66fa7b088adb7ed4021d4d94267b8681da962d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bipolar,1agOL1akZePDXe21TBbBM2,Kiiara,4u5smJBskI6Adzv08PuiUP,Bipolar,2y5oeiOOk7synreCnFAy7A,62,https://p.scdn.co/mp3-preview/5cb90c9aa6367c51abaca61a6d662e5ac7e6ca8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Missing Home,29j2Y1N3vpyvm385G4TFSS,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,Missing Home,7mb7CpPeL9DJCQGAEIbkHS,63,https://p.scdn.co/mp3-preview/1644b4a1a658681d3c9b3966ab581629134f50f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Young,2lrRZiGiXb9ThjVo132xhc,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Young,5ZZk99V9SwyA5LuYKWv3EN,25,https://p.scdn.co/mp3-preview/4ac568960ba4440a6279c14bf7df0105a08843bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Lie with Me,65BZuuRPBkFrYIMESBzgJU,Elle Charms,4NxHR2lQYOb98IeY0DbbR1,Lie With Me,4P6n5qEgpNeHdSyHPkn1NU,30,https://p.scdn.co/mp3-preview/f259c9bdd44635934385b59edfa4371d0a36070e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,61,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Daddy Issues,4avjM7B6B5TaDjM4wYfze4,LOVA,1l2NYhptmHjo64MDOcej1x,A Gentleman's Guide,1kofANNzjqHkHH5PRQpVlZ,55,not available
30,Inside Out,4xFFxjyYCjf9TH1gPh82CA,Balcony,5Jk42C5fwPHCgpyOypW2G7,Inside Out,2MvQtrhUH1IZQOsoygvJWa,2,https://p.scdn.co/mp3-preview/f820f8718104479eae02eba719c8d50c6be5ab83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Strawberry Shortcake,06rydNJ4urAHzAbY0okjhl,Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,K-12,1fogpVbSs4ontYCrY7oy2H,54,https://p.scdn.co/mp3-preview/3f8dcd977552d5417375c45c9501e3256119eb3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,63,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
