Women of the Blues,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,119679,spotify_uk_
1,Save Me,42O2R9NmHyZqN6CvGcwzrl,Danielle Nicole,34mu675oQQ5ZNuK1soZrIn,Cry No More,6uqgNfRltyZuGzFhMF256y,43,not available
2,Johnnie Ray,5v6dtKoPkH8wJVqfOROJqD,Ana Popovic,5kPUAJihniO5WfEfbOCjLf,"Trilogy, Vol. 2",6wfjOYh05Xg6xCxAdxRrN8,42,https://p.scdn.co/mp3-preview/eac62928116e3e19d397166bd52da55bcbcd9a6e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,I'm A Woman,0HPazJXESVCimRyMggplg5,Deborah Coleman,7Dk3koHTPpEymzuWOWzzny,Soft Place To Fall,7MDS3NXJ5thAHZkUcALtDN,39,https://p.scdn.co/mp3-preview/51f5d69e2bf6cae7c221c64c9e370a3fe0043521?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Gone for Good,3hdx96ToWSDdbJWzi0saAF,Samantha Fish,5HsS48kuvghKcNpwOaAvB5,Belle of the West,5o5uLL9irXA5K4C7mVpxcC,41,https://p.scdn.co/mp3-preview/9966aa7a8ba80228a182643b54593260c858c711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Release and Be Free,7d1ZzOIyACB64aEibmWfH7,Kelley Hunt,0L7Y276gBjB2pxuyhpgzgv,The Beautiful Bones,5a1VvpMgW0Mz0FDVOYOV38,37,https://p.scdn.co/mp3-preview/83c8b24bb8d499e55b982608fbe16279ad77787a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Quit Me On a Voice Mail (feat. Eddie Shaw),7n5vTqlOB56a7kLQrGvPO4,Liz Mandeville,2E9otVxlvozf79LrFKsWyc,Heart 'o' Chicago,4obpZp8u7Ssitw3HeJKs51,36,https://p.scdn.co/mp3-preview/073b240a0dc447d0dba7e707488ed7ac2899fd62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Juke Joint on Moses Lane,4Dd1ZiwUMdaxirVebAldJR,Fiona Boyes,2dQerNdFoiwLUnBfji9ZBE,Box & Dice,22GwhffmbPpe1wsptOPc5K,38,https://p.scdn.co/mp3-preview/b5cb2f1718e83f639fccdda7a02ff3684d09481f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Time Has Come,2RXIoXvCL53UKnsEjMRxl7,Joanne Shaw Taylor,3FmTlY1F9dQyRursrsUaU7,White Sugar,2RaFqSmJ7KZ5bdtlIX4lM3,44,https://p.scdn.co/mp3-preview/83c53d7cb6827e43d578f525d0c64ec8b571a3a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Give You My Love,43e8Q7rSuX10XkBNzAXsnG,Lisa Mann,119v7X6k46bE5xgwuWawbt,Move On,4hHnHQyat6xgj3O5miOUOJ,36,https://p.scdn.co/mp3-preview/fe222a049e18b33e2d342e39e62338d53bba83e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
