66 Skin-Crawling Halloween Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Yonkers,2QloUyCqK1enErCSmUniNu,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,Yonkers,1rHPGCGcTUUzeFtGs2SGPZ,49,https://p.scdn.co/mp3-preview/871994c6a1549c8b05c2013841f5622991e94e10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Perhaps Vampires Is A Bit Strong But…,6Slvi85s1hIaeykjvDe1xk,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,"Whatever People Say I Am, That's What I'm Not",50Zz8CkIhATKUlQMbHO3k1,58,https://p.scdn.co/mp3-preview/f57dac413ff167257ff4ef45cd2dcdce78b9fd7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ghosts - 2003 Digital Remaster,715OHNQNLTn7Wyosz67PD0,Japan,7vPXrGlSGukcwpaPxUfKKR,Tin Drum,71R4tl3qYgZVvdlwE7Fxs6,39,not available
29,Vulture,2Kzf4lpkPkxy7DwNlvbSpp,Iggy Pop,33EUXrFKGjpUSGacqEHhU4,Post Pop Depression,5jRBK15ic9i5C8ucN5LTx1,31,not available
30,The Monster Hop,2IpsePtzFT2jCAKAuWLf7H,Bert Convy,7iMqWUEfigdsN3xDtWvTNY,Halloween Garage Rock,15xcNHSYqHZYL3cfzaqoLa,0,not available
31,Ghost,18ufEOHEQPS7Bo0YdWMchQ,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,I Had The Blues But I Shook Them Loose,4CVzsnMQTcC5mfU4XNTTaI,0,not available
32,Dead Souls,5tIKR7hREMVBCLHLz0xvsQ,Joy Division,432R46LaYsJZV2Gmc4jUV5,The Best Of,0p8Zy0wEzDYiFDcSt07UHe,42,https://p.scdn.co/mp3-preview/449fee33cbabdc8b2b1247fa201edcd8af2cb6df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Blood On Our Hands,7aeLPLzp2EfDYUoJ59V1ui,Death From Above 1979,18H0sAptzdwid08XGg1Lcj,"You're A Woman, I'm A Machine",5AGKxoQIJ6MKDOiITKwH9z,31,https://p.scdn.co/mp3-preview/c3daef70bd736d4177533d85578aae49a316a8b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Little Drop of Poison,1jbjqnT7KfQZkqmkZaw3CQ,Tom Waits,7x83XhcMbOTl1UdYsPTuZM,Orphans,0eJrLBHOQdQ6zDHCsDLOwm,1,not available
35,Tiptoe Through the Tulips,74XvJOZ3djzuhfPyhXkbTv,Tiny Tim,0Nc79lkTxXLSIIHDB8mqJC,Tiptoe Through The Tulips/Resurrection,0B4UxVzs4CiHUDfvIgbtn2,0,not available
