NME's Best New Tracks,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4234,nme.com
1,Cat Pack,1i3UvjbQS0OoBoKkILthR2,AJ Tracey,4Xi6LSfFqv26XgP9NKN26U,Cat Pack,0H346vuauoKWvLPXuYGRDb,63,https://p.scdn.co/mp3-preview/5907237d06e26b373e332f33def6b813cf7ecb43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,63,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Horsehead,5aBtwH7UreHCHtSv3QEnMp,DIIV,4OrizGCKhOrW6iDDJHN9xd,Deceiver,66aYL3AZPfk6leHxlJDYQ0,52,https://p.scdn.co/mp3-preview/3d6fa89bfc80269a959a1c8d60473dc88ac3c66c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ankle Deep (In a Warm Glass of Water),0HPTTMphUBXiQTMXFl2fOf,Talk Show,6maphvdwLWb9tIeiFAAaE3,Ankle Deep (In a Warm Glass of Water),00F9TQD2pDp3QuQVRvpKkM,23,https://p.scdn.co/mp3-preview/d0456a98ee032c2d35d607ddc3430546862cb0f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Talk Nice,26ytdRiaqQGWWu2wD1MJ24,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,67yZgiOGcmzs07g0xGQ9Ag,53,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Used To Love,6WC27GPEjsX24Vv12VX6mb,Alfie Templeman,6QzMY3tnu0m56eKUnr4uCF,Used To Love,2oGxWLARSLplTHJ4HhiwPD,46,https://p.scdn.co/mp3-preview/2b7c8cc44731173ef40dfc48aac0358cb6d8ee62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tip Toe,53lm5Hj7ZYVv3JzuiDr74c,SAULT,1uRxRKC7d9zwYGSRflTKDR,7,19uWOx2aMKl7cdesfEyFms,31,https://p.scdn.co/mp3-preview/c7fcb2d0f75a3631734a79675c6fa203aa0f136b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Knife On The Platter,4IrSjYnt1Jw6llYtoR2UPt,BODEGA,3lnWfdMG9U0oVMC15SEbB5,Knife On The Platter,1Ej4eeL8uC87KfdeWqBqWj,26,https://p.scdn.co/mp3-preview/2ab90a088cbaf306cc9189cf26128542bf29328f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,HIGHEST IN THE ROOM,2uDTi1PlpSpvAv7IRAoAEU,91,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=fa83a2fec7c440b7a2795d600d6b2c7e
