Merge Records TransLoc Rider Tunes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,9,mergerecordsofficial
1,Ready to Start,1F2Ca0Cfo7DcdieWlZEqzc,Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,The Suburbs Deluxe,76Rnn8D33IjnJxv4hQdmRX,5,not available
2,Can't Do Without You,3n4M80UmJNHws4ZqdM7KEF,Caribou,4aEnNH9PuU1HF3TsZTru54,Our Love,5r4nz5LZHeGUcZCrWbfWkx,54,https://p.scdn.co/mp3-preview/3b134bc40fd32246151adae2a91467e211ba8752?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Love as a Weapon,0eycRnDqq1DVfuwV0EEwnX,Little Scream,2U7njwghtRR6ofLobG32Lk,Love as a Weapon,11XPwRC2XoNGjcQh1q5skx,21,https://p.scdn.co/mp3-preview/d2c8c8a735fc3f02bc696997d913aaa55c6f1542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Tokyo,6JjUnS3G8bk1xR0sZrNeMt,Telekinesis,3faZppLa0MVUYBlyp7zDAo,Telekinesis!,2vZKhcxTCnB8ytm0fyy8fz,18,https://p.scdn.co/mp3-preview/ec6ae743a91cac54d2bc2d72fe5ac56daf474af3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Calvander,0b8spYgQ2INwOpDVfsUbNv,Mount Moriah,0NIClyUOoNPl2GQouxBYH7,Calvander,3YLZPcixfb7gIehrX38a4Q,30,https://p.scdn.co/mp3-preview/220871ddfc14b918eb4656cf03b6be77e8b5de09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Your Hologram,7kfgPEOKMQgT47DjU8fLbs,Mac McCaughan,3pLUCmcxLXGeLoYI5rw3O4,Non-Believers,4RPRmfSobFWkd1eFEbMKwy,6,https://p.scdn.co/mp3-preview/06339f4662a96aaff2b8afd78b578f956e21d469?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Longshot,4WPQ9Nsy2i8ZCF4EKdX44l,Benji Hughes,1w4UUVXVsk63VT2vTwx1e1,Songs in the Key of Animals,3w841jP37vE3JTb8eM7g0n,19,https://p.scdn.co/mp3-preview/29d850ec45f6bdbeba8d23794ab55fb93a9aa902?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tonight I Have To Leave It,0EioI2vnyTBc7B3rrrNDoB,Shout Out Louds,0UOrN3LNaKApiOSdvJiETl,Our Ill Wills,5o6LGjOHAaHpUMZncZGdEl,42,https://p.scdn.co/mp3-preview/d7bb515a97b9d057d983a35e9f4cc477bf428a91?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Heart to Tell,1KLei8vr5one88ra2XfxK0,The Love Language,44OridJEgBZRRGJXQfOScR,Libraries,2GhtRqqAWewD3iDe5CjiIk,29,https://p.scdn.co/mp3-preview/e009737421f3170dbb82d07cc1806c85be84aadb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
