Matador Picks: boygenius,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,5808,matadorrecords
1,Bite The Hand,1XD0F6XGQFj1kG4KKjnB4s,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,58,https://p.scdn.co/mp3-preview/73a8befd5d687fcde209ce55711a19fa110a8ce0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Me & My Dog,4q9w3UGW3utmeUruBLUoZZ,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,58,https://p.scdn.co/mp3-preview/f3a1febae2f44c40159ea9e164215dce5188c9ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Souvenir,1JPRgRUK044O15wgv8uZO1,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,62,https://p.scdn.co/mp3-preview/6ab6c63bb98bcb455b593a9247f0295b03150f68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Stay Down,1C8jHaMeJeXLjrN9Ys7qk1,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,50,https://p.scdn.co/mp3-preview/d71966d9cb6328260042ea5e7fdf754ba1df8a47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Salt In The Wound,4163mASWo9Bx3sCCpnyNa4,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,52,https://p.scdn.co/mp3-preview/7021f4c0cfa72d2f3efc6c0bb1789bc58ba8cf8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,"Ketchum, ID",6SBITkcYSlE5hz0ZpoFZ8f,Julien Baker,12zbUHbPHL5DGuJtiUfsip,boygenius,5BRORKnC2HD5xhgUyR31SH,50,https://p.scdn.co/mp3-preview/a30d98b9b6991f17a30eef2c85fab4c10cf21dc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Turn Out the Lights,53z0nEZgRnavzH7QbSrO2a,Julien Baker,12zbUHbPHL5DGuJtiUfsip,Turn Out the Lights,3uIsEwFYYV4rwRssSEJ8Lb,46,https://p.scdn.co/mp3-preview/c7ed8c24754ffc6ea3407be782e09e3d210be6ef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Scott Street,0jqFM7E9z1PLYtPVCuFwAi,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,Stranger in the Alps,0AkAmg94XyiHODJaiGHh9O,64,https://p.scdn.co/mp3-preview/217569209fd00067a088fd0834993d4e2e1bbab6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Night Shift,2AF5Kzxb4pz7j79Ity84pP,Lucy Dacus,07D1Bjaof0NFlU32KXiqUP,Historian,01GO03odsNlNLtvNETukWT,62,https://p.scdn.co/mp3-preview/11ff58f96758165ae3d0580925fe74b3852b4aab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
