Dancehall Station,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
17,Drôle d'état,3B74NjFPZ3j6k72jT3zkSv,S.A.M.O,1FCBufI9ovdHlo2bSwGNvV,Drôle d'état,4n7FTOjIGmAaZEYo0FjUqT,35,https://p.scdn.co/mp3-preview/b0909c036a1a3782b3da52d95845e3f167bcebe1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Boasty (feat. Idris Elba),7cz506PyIgh2bMN90Mc8Tn,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Boasty (feat. Idris Elba),7JoyVaXzxpgTPjkgB8mWk3,76,https://p.scdn.co/mp3-preview/c5c6bfce58de92ec322568b3af849311c853fab8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,100% (feat. Afro B),1xR4ERa4qWfhI05lcdaL86,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Parts Of The Puzzle,1pWeFGAWLYOiteoFpOM2xx,44,https://p.scdn.co/mp3-preview/24770f6e5895b259b31c7e3b9283117e0e891fb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Toast,3VEpRXloN4rbzNRPSQzZFW,Koffee,1gWjcmBsveEYMxOZ0VRi32,Toast,5wrjX4P4iirfltdwKC3VOc,39,not available
21,Round Of Applause,1naPE8sDRmyU2hJ4MRkjg3,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,Round Of Applause,5ODcGcg6JlQn2OCnoRAbHO,2,not available
22,Prayer,1YMjH0GKiSou0zh7jhoTTX,RDX,4GpVRyxDYccJrbQkO3KWws,Prayer,6XxL2Htan6k09ZZ1eafPGj,35,https://p.scdn.co/mp3-preview/894240c66e1b6cb2ade23f535b4140fea74271de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Flex Pon You (feat. Wiley) - Zdot RMX,37A8TKrERjYt9qJ635e444,Ricky Dietz,0G4WsuGGJIFhlRRxO9HXuK,Flex Pon You (feat. Wiley) [Zdot RMX],4kaGdvzO14RC9BqvKOdHZq,52,https://p.scdn.co/mp3-preview/f237d2bafea7c59902b9f4bd603dfb8840b22bbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Fight Ova Man,6berakBlPPFmyQFH5U7A9T,Goldn.B,4gGacdwZmUxzVWDOoGMomn,Fight Ova Man,41WnS36WgMlKBzRFOfQEXv,40,https://p.scdn.co/mp3-preview/82a3bda34e3a1920b7c5a1dcf4b75a7639a6c40f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Drone Dem,5hmB4sNdWHu0tXLtKQnCeI,Vybz Kartel,2NUz5P42WqkxilbI8ocN76,Drone Dem,5X4debOO0S0mGTdHYKriZI,51,https://p.scdn.co/mp3-preview/b3c28262a0eb5b2119dc9d5d3f64a2f9bab204c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Baimbridge cho,4XhtQ3ZKBYbQCry79u71eE,Admiral T,4TEnXYHvYwoMopWqxeAnTE,Baimbridge cho,4K5z5W8ZsGQxVsgMAL4D7f,41,https://p.scdn.co/mp3-preview/141096e97c7bd521aced1b362dcb9aac3758caf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,All Together,7weaa7tac1MpZJM4jyuKA0,Demarco,0af5VM6xubf8EXKvoG35x6,All Together,32S6RFy9soxNrn2LEohwQd,42,https://p.scdn.co/mp3-preview/f454b2f881053e2e9cf05550d0e5313513d466ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Got To Tell You,0qTD97mpn40iDTBDjvjwfp,Busy Signal,4RfTXjK9aiiIKDaKUHpL57,Got To Tell You,7gNwP8Aapssq6DyBJmBLLK,57,https://p.scdn.co/mp3-preview/ee51f0744b9d23b27ddc2f34b10bcb077e82ba2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,El Boom,4D3RlFtxWG1vcgddoovAsN,Chimbala,4VVEpEhC8NcR7AqNEds42U,El Boom,2vHvYTzOEQppANBwRGcaGk,66,https://p.scdn.co/mp3-preview/d99326caba0cb7efb63431e9afaa52ffbb55c327?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Dem Fake,6JgXeTB5M3TtxC92hvza5z,Jugglerz,5dM0ApSI0k1TcOseiik0sY,Dem Fake,52Ip5WIO7Qtiw5LrCuEMTp,46,not available
31,Antre nou,5XBYoNxBQzgsaRYbfwct9o,Matieu White,5sMW0JQcC3IVmpZ7nr0Wh9,Klass Soley,5Exna8ynKzdvMpONXzg8n0,37,https://p.scdn.co/mp3-preview/89ece37cac1085b00c7c715aef7af37b4b6e0edb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Banana (feat. Shaggy),6ON9qDoT2beR9dQ0evOOj1,Conkarah,7vPGzgDg3qGUY5bWtrO3K4,Banana (feat. Shaggy),4vnDobxvOO9eyTHa4TO3Ja,52,https://p.scdn.co/mp3-preview/6c0c5037c7b0417d69106188963eed102b2c1931?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Watcha,28HTngKIH0g8K80F1yAlIR,Krys,6d4N9S0QxevupZo0FNXx0D,Watcha,1pmXchN3IpcZgLEufsY9lW,35,https://p.scdn.co/mp3-preview/ded64a6c7432b75cb153e3ee31516f2eb45d52e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,No Negative Vibes,3zzkvRkiVlI6zuNpz1h9Kf,Walshy Fire,3yJLZoq3Ra2VmSW5teVgih,No Negative Vibes,2R94yNSqO829niABtshvLP,9,not available
35,More Weed,7xpIm2ifKAAKYbA60fNUqL,Mr. Williamz,3iL52u3kr14P6cTpB0VuEs,More Weed,2FeaWLQvWl5TbAaxkVhvbF,34,https://p.scdn.co/mp3-preview/eff5701bdac287301f497593193f4d1a6b326da5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Deh Yah,16azQRSYm2xZ4SW1Md0irN,Gyptian,2JX4h8xm0hNxCB0aNBWzyi,After Hours (3P),2RClfi9oNThJ1lmqzyE65f,56,https://p.scdn.co/mp3-preview/e0e3d66f675d6f317ee334e911fcfc6ff1491a5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Nou ariv,2qF2wdefnNDBS94eGdFoNs,Abdoul,23IOAUeDv9mxdPgXvGW8ES,Nou ariv,2PETmGKaPYt7QVAHt42x6L,45,https://p.scdn.co/mp3-preview/8d3b000d4456319cd856b97926699316679e9241?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Humm humm,6DTys6SpIcov7LF5hhMdVp,Nicy,2fKiJz55OB9rZJLb80o6d4,Humm humm,5gVrrcQCfXE3z5PatfeBuP,38,https://p.scdn.co/mp3-preview/0dd2a72fd9fa7566514a3a638960d0bd6364e39e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Étchatchawa,2Pye1uN8umSfOUc1ssmG8v,Black T,1EN3JG0z8EcqSca7LjURLr,Étchatchawa,7g9GJkmeNdOdq4v66LimUY,41,https://p.scdn.co/mp3-preview/d6bfa9859d67905911f626dbee46d14e347e45ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Bruk It Off,4LDDfSE7PliD1Z4GGGtBHk,Jahyanai,09FXva53dWku8Gu5N73rR8,Bruk It Off,2EukYD8IR5qAR0Wq0oqe2I,50,https://p.scdn.co/mp3-preview/5db2e23773a6d3d8c3bc9b04b473ce0068f3f2a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
