Culture Tubes,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
33,Rien qu'une fois,423Lqrleljmw1TVm6tNnFh,Keen' V,5iZMWWLoDJH1u6Ru2rOEsd,Là où le vent me mène,2FCFPzEWt7sTBeeMGWavUp,54,https://p.scdn.co/mp3-preview/6b8863e68226d54d9b1de6292367c1f76bf108e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Le Graal,4hMsrR2JpxCeybyWN786qk,Kyo,5ylOD196qui8JgXBrQUzok,L'équilibre,4CkUoxJjBE1QLFMwJYcDwC,51,https://p.scdn.co/mp3-preview/aebb6b5abbce626e7632f812c0067aafc569cbef?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Comportement,7dJqvusDNhwkkxb9UgKREN,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,Comportement,2U8JA1vDGpQKo7ZDy1DgXp,59,https://p.scdn.co/mp3-preview/5d41b8dd5ae788669c8e667ee8a2735847e0974a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,La pluie (feat. Stromae),4cYFep5SECqb4EsSkF82e0,Orelsan,4FpJcNgOvIpSBeJgRg3OfN,La fête est finie,04mHlwou1RaPDo8SigFfKf,63,https://p.scdn.co/mp3-preview/f14b70b1abb8cebec04002dfe3da263f3ad0b0a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Speed,5muiYSjAkI6rHSlyGlZ0jr,Zazie,3FLS6y4AR3126l4D06V0ZD,Speed,77yapRm27kNhTLio44HFys,60,https://p.scdn.co/mp3-preview/f19fe980b13af89f793f16d9d5d4425462f1ae10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Les sables émouvants,5a5YjOrG5RzHAeKQUEKVVd,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Les sables émouvants,0XMCckYFUvbHqGexW5q9k4,4,not available
39,Nation,0PWGkaVJLYO13DlMUOGl9X,Tibz,2fAaFNSG0aQucjQigOtHZF,Nation,3fCYevrgjBwF6m5WpwSxkp,4,not available
40,Danser,0qp6Mwx4Gwq3S67YKmo2eE,Lisandro Cuxi,18B188KE3gPEhXfx15XnhY,Ma bonne étoile,25a7sm0J2KmjrEfuNEO989,50,not available
41,Midi sur novembre,31hrzu2Lv1iV1WzKKS90gI,Louane,7wjeXCtRND2ZdKfMJFu6JC,Midi sur novembre,1NYS50nh2ViaIe2t1Rajw1,51,not available
42,On était beau,10ZrEcxWcD9vOSUVhUH33O,Louane,7wjeXCtRND2ZdKfMJFu6JC,Louane,7rDvst38yYrJFGqs4W25Y8,58,not available
43,On s'est manqué (feat. Eva Guess),1DJ8HPvxNmeOjWF7iTIvnN,RIDSA,4TGltjqP0MQxdGeSIrM4es,Vagabond,4IPr3540N0H3Usrw1oCRd7,56,https://p.scdn.co/mp3-preview/b577ce3a2012e04993d3b42532447520caab0dc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Adolescente Pirate,4ON6QuOk1sLhP6rOVz7eT2,Léa Paci,5kBQbdunAcJ6pY5cOme4b7,Chapitre 1,42l2jvYQnWuX4vXTxV5boE,47,https://p.scdn.co/mp3-preview/7d460f00f7235d3acbd6d27027b28cbbc84c9140?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,French Kiss,40aUgK48PvR8JC2KIiKKgW,Black M,7lMgpN1tEBQKpRoUMKB8iw,Éternel insatisfait,0fBcGOxa5aFx5MAOYaQ4XU,53,https://p.scdn.co/mp3-preview/22eb36b1b6b51dbacd9d3d070c59193819066c73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Notre idylle,6sRpfRuKs0FF6oGHdkaxai,Jenifer,7p0bICJNx2HM4jS28qexvv,Nouvelle page,5PIKD9PXYxnG7M3JSJKcSk,53,https://p.scdn.co/mp3-preview/0b96bf86e3eec3e70da7c8df61ce52b48904abd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Prémonition,6vi3RRBskTzOQFsmMnfmmr,Cœur De Pirate,2eRNMtoi82UZUuaL6naDjA,"en cas de tempête, ce jardin sera fermé.",3B4cg0LWmS1RCUJdOZ1aJ6,46,not available
48,On,6ufGckdG7LE3M84Rr8uxrj,Joyce Jonathan,25eQCECJH4VTpBYV9jhpyE,On,4IImRPY2ymApPuP2bZTG6h,50,https://p.scdn.co/mp3-preview/7634ebb24708c947059385fc481fce550fe01deb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Les rues de ma peine,1Yu3HuPeo0VT9A7XHPHqGq,Amir,6rl53MP8HSoiugpqzA50Zh,Addictions,5GFNkpB5E3L6LFlkqpQvQv,28,https://p.scdn.co/mp3-preview/68916a714548ac4163ec23e9b8c8a795a192c846?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Revoir,58M2tMXP6XuzSVFrAMifAk,Jérémy Frerot,4lhtlpMg6j1absrQvXYlRK,Revoir,5v6PsHAyfM0DbY4EzJIyuN,48,https://p.scdn.co/mp3-preview/2566c79a5efe661fed2c3c734e416ed7c9842d9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
