Indie Station,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,50033,spotify_france
1,A Dream Is All I Need To Get By,6umE6KaAHqn9vSm62zcOc9,Noel Gallagher's High Flying Birds,7sjttK1WcZeyLPn3IsQ62L,A Dream Is All I Need To Get By,3ClGxA3ND5zYEuvI9BoEHS,45,not available
2,Wars,6DZ5EOzz715nW5UIovhIWD,Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,FEVER DREAM,3jk6oyfKCny48ZYb1CPjLa,65,not available
3,Salt And The Sea,6d2MCbByfqhU85Fmj8WCAN,The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,III,5DIgFG1fM76vmNYlvfv2JJ,64,not available
4,Borderline,3O8X1DE9btbzy4UH9cSX9a,Tame Impala,5INjqkS1o8h1imAzPqGZBb,Borderline,5zGidcaAvNahQrYhyQwAQn,77,not available
5,Heavenly,0M6TLjxixptslrmQpWbRoR,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,3cgFq282Yi9czapuam0DwB,70,https://p.scdn.co/mp3-preview/8baa84e848e637d9a4326e2a43f978af7e430a77?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Hot Motion,0WeuLiBpprHQOpMl9TKDKC,Temples,4ogwGU9VPWrnVBs1GEwZVV,Hot Motion,1gQKY1Dcqiov7uA4murJ6u,48,https://p.scdn.co/mp3-preview/017388972f793a2de43addbdea8c7407ac75228a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Doin' Time,0cLS7FslBJgsuWwJNRnPWB,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,Doin' Time,7FsoMmWTbDXgdwvO1uCQ7d,67,not available
8,Imagination,2flxduIqEbsicdmPyj1WVW,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Imagination,5LbiR8iqC4hYeIKifnmVqc,74,https://p.scdn.co/mp3-preview/ee572a4fd006fad8bd5f5ef898b0be6a9f2e0503?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,magicalove,4HP9EMDM4IAZIUsvUmZD7O,Isaac Delusion,2HGAZDmVV3GAH4XFAZdvSG,magicalove,3Vs7pcXCgQgav2fwZBSvMY,44,https://p.scdn.co/mp3-preview/53601232b995be02c25ffbf9a4b26c5812b122b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Straight from Steel,6oqGKn2FBecymXQB3Sifen,The Maag,1Uu6sXNTCYYBdldymTGOqB,Straight from Steel,4jDPErvYtpW0PMZQAa8pv9,34,https://p.scdn.co/mp3-preview/0c72018ddb1022b3c15f625487fdb6497b860338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Missing Home,29j2Y1N3vpyvm385G4TFSS,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,Missing Home,7mb7CpPeL9DJCQGAEIbkHS,63,https://p.scdn.co/mp3-preview/1644b4a1a658681d3c9b3966ab581629134f50f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,The Game,64kY8ox52wBR7sWI3pcNwj,Milky Chance,1hzfo8twXdOegF3xireCYs,The Game,4o8zheBB9DDkWKjUIEfGNe,55,not available
13,Hey You,1yYpw3DuEPBO6Cv7ejBwsq,DOPE LEMON,7oZLKL1GjYiaAgssXsLmW8,Smooth Big Cat,3vb4dMvsa3ZZb1smeZPOPA,56,https://p.scdn.co/mp3-preview/91e05bec43aead5efb663c260a5000b6032256ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,"Eat, Sleep, Wake (Nothing But You)",30Ih2VLYmGIWameeQeyaDr,Bombay Bicycle Club,3pTE9iaJTkWns3mxpNQlJV,"Eat, Sleep, Wake (Nothing But You)",1bXVjlT2KJNwJd7NlWPPUu,70,not available
15,Bags,6X3FZtz4cKU2MKSQlGG9ZG,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Bags,5YwYhMFzSWG8i7NEuwnIzs,67,not available
16,YaYaYa,1gmj9SGmFea50SyyVYgFkP,RY X,2KjAo6wVc9d2WcxdxSArpV,Unfurl,3f91d3qVwL2zX9k4PKoXK2,59,https://p.scdn.co/mp3-preview/542f59e86719f053e03f2df2affdec58d7020613?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Let You Know,7p0tz5SeCrSxTLSvwR8W3D,Flume,6nxWCVXbOlEVRexSbLsTer,Let You Know,0JWZvxiJLvRQwqKL2IhcD0,72,https://p.scdn.co/mp3-preview/8a3b514dcde999454a20c4793b423da945456d2f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Someday Baby,3X5ttIkuVuJFAwVuaEEBP7,Sage,5dDQASlR9FyeP4VO0jw35F,Mon inconnue (Bande originale du film),2Q1cbD2eDjRtkivrvxx3A8,42,https://p.scdn.co/mp3-preview/2c93aa6fc07928e4f8a0d528645f95799e0be51d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Prophet,4vFTpKeY2F3ckwhULrtS0z,King Princess,6beUvFUlKliUYJdLOXNj9C,Prophet,2FllxPNjQEjdKtjVCfoqUd,68,https://p.scdn.co/mp3-preview/761ee62bfa09e8b199abbec0941e2ea200efcaa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Divine,1inPW4zoPlwfPaSRinhcaT,All Tvvins,7F0pUx0AO9CXaNbCoxbbNX,Divine,7LBdk7OFBBHbrwL8BQZg0f,47,https://p.scdn.co/mp3-preview/efa288b2d669e62a55c87b8d33f98bd319a5d804?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Flesh and Blood,2KTJVSyWl3HzUnKFDHJm2S,Half Moon Run,3ceQN2NVlLg1hgTzljDE4n,Flesh and Blood,21A1mTXZv6KgP7ar2RX4NQ,46,not available
22,A Way Out,4ob7EFju1WyQZgHf976WqX,The Undercover Dream Lovers,4D42J3IJpcTm3zxzmZ7TCV,A Way Out,542p3Lkv6W09EeV1wMt5J9,40,https://p.scdn.co/mp3-preview/6ad1b7c1a6c2ee6924273487a91d7701f91c67da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Elvis,7DYSMXzMaHMTIfUm21SN4s,Talisco,0ZR3khgseh3xy3s8iBYWrI,Elvis,67dLz2xGDTPGmOOd8rLuCm,49,https://p.scdn.co/mp3-preview/e82065e8b5aff281dc2abff352f18b5540a0bf27?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Good Luck,2apLrBlEQvFa8ob0dQcu6i,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,Good Luck,1HXt6ZlEaXQEEt1YjxHUPy,62,https://p.scdn.co/mp3-preview/4842d7f101ff3f1703bfb8917314cb308095e27a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Waiting For Your Love,6RY8937sT5RRsg6RhCLHpx,Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,Waiting For Your Love / Complainer / 4th of July,3dWEcM19QGna19OlHepl4Q,58,https://p.scdn.co/mp3-preview/31c5331a3d84cd11ef8a24d7eef00c74a2e13601?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Blankenship,2zzpa4MjaTFEAveQL64aYT,DIIV,4OrizGCKhOrW6iDDJHN9xd,Blankenship,3jk7rwdXGIbwLYhNTgEPyu,54,https://p.scdn.co/mp3-preview/93ae971865b312f14d5b46b85fc75074d0daa1f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Dirty Air,2XBcbELp9GyzFfEdNFpcpk,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,Dirty Air,4aJSpKresEm4EVdy8J0OmP,47,https://p.scdn.co/mp3-preview/9601ba67aa89a616dded1312faad064c73bff147?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,When Am I Gonna Lose You,5wCVLW9qMtIY9IkBeyYnh6,Local Natives,75dQReiBOHN37fQgWQrIAJ,Violet Street,0ORZb7kyr8aaP2LpL3mhuY,70,not available
29,This Life,46VD9EYQ2lIZcJUTptvuNF,Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,This Life / Unbearably White,6N1pLez4f6aCvIc4z1ipU6,25,not available
30,Daydreaming,3VXvKTOQoY0kWvpjU67uq2,Milky Chance,1hzfo8twXdOegF3xireCYs,Daydreaming,30kvONotzSeqLplcsaa1SH,59,not available
31,The Hunger,7AaSbMyCeUxcGsvCmzmfEJ,Bat For Lashes,6l77PmL5iuEEcYjGl8K6s7,The Hunger,12VmOUL6Ja2xjWQljhi1X9,47,https://p.scdn.co/mp3-preview/282db17fb805527474d37edf12fd88f3dd744246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,You Ain't The Problem,0QDe6nlExlt3AM1NHTh4nn,Michael Kiwanuka,0bzfPKdbXL5ezYW2z3UGQj,You Ain't The Problem,6J37CAUxNhrqlX9iuSzVVR,63,not available
33,So Good Looking,0I0onONP8E5RG8oxpWoGIY,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,So Good Looking,1ARM5SvfZKZeuww6C2gim1,61,https://p.scdn.co/mp3-preview/1d910c37b704ebf2d33c004fed11cd639453e925?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,More,3wACqF2VNhmiUMwXn7U13j,Electric Guest,7sgWBYtJpblXpJl2lU5WVs,More,6PpFASXIMxwhBs17Og4NBX,55,https://p.scdn.co/mp3-preview/3028197cd6a0a971bbcf240942e29d0f9a960538?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,dead girl in the pool.,5MAjVARSIDzwz8jFG36hFu,girl in red,3uwAm6vQy7kWPS2bciKWx9,dead girl in the pool.,52BIjApb3xOtj4e1SL6bVN,66,https://p.scdn.co/mp3-preview/e5ce5865d64765e35988e9526585b5a22a5ed5e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Lately,2eozBltJ8YldbOryyWzSFc,Metronomy,54QMjE4toDfiCryzYWCpXX,Lately,5jGDLc4GRBOwSW4RsFySNl,54,not available
37,Backflip,0seq6goT5Jc2HQLCFD1wnM,Love Fame Tragedy,04Ye3owBSFJF5hnYWHtq9Q,"I Don't Want To Play The Victim, But I'm Really Good At It",2E8f8Dz7kvzo8cBmzMMZxM,47,https://p.scdn.co/mp3-preview/eedf49b00092af80c145676818f2fa1aed4d0da6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Once - Radio Edit,2ejWngctDbSpkS2p4f2CNq,I Me Mine,49Aanvac9LY0no4ysTsYvw,Once (Radio Edit),5buI1L7jZvn7Fy49faJUSH,32,https://p.scdn.co/mp3-preview/30245f199b82fb69d0537fe1f2e2a7b59f1ac328?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Ocean,63GORU4u0r4goj11Npvint,Pablo Alfaya,5v7l25gR3hlSPtAWclblGu,Ocean,6sOmvWBD4feIkUmGLjdG9O,36,https://p.scdn.co/mp3-preview/8fa24ab6787b5a23d2dba6ac85712df27883bcf8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,That's Why We Came,6INomND9mB2gNU8UQgFnhd,Tohu Bohu,6vbNevTU1BfFmrdVbbMehE,That's Why We Came,3vvUfwL5SurDh49brCVkgW,40,https://p.scdn.co/mp3-preview/cef3312fb93cbb0130b99e3dd2016e136fbc3ec2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Are You Bored Yet? (feat. Clairo),1yY9uOKV3A9pPedzTfvbg1,Wallows,0NIPkIjTV8mB795yEIiPYL,Are You Bored Yet? (feat. Clairo),6TmYayLFvDWXdniWHfPXkE,12,not available
