Génération 2000,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Tatoue moi,4ZRY58aEy2TsixskDcEOIJ,Mozart Opera Rock,0xmGtVZjRriA2TVM9oaM61,Mozart l'Opera Rock (standard),43GJO1w75ZvUOSVlSPPmOi,48,https://p.scdn.co/mp3-preview/2792c34902dcfb4c4f0e7ea59e32fc0cd72d7b5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Comme des enfants,3xuGzgRYAXHmj0dT1EOtzv,Cœur De Pirate,2eRNMtoi82UZUuaL6naDjA,Cœur De Pirate,71fry0hY8cte1dlWqIhPM3,55,not available
28,L'envie d'aimer,0TNGfsGVd73QadekqZs3VG,Daniel Levi,27Nnz63JsAweHllsNze2yD,Les dix commandements (Bande originale du spectacle musical),5H7juaidoWmVx31NybGsTg,48,not available
29,Caravane,2UXjdnCvgGGIXLrAwCVVQT,Raphaël,1NPnXlXdEfr5ZxhEDsFevM,caravane,5TbficEf6NnMBJP5rUwuN6,58,https://p.scdn.co/mp3-preview/4bf483c614f6df933ac38359efbe30ea89d1ac21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ma liberté de penser,6zxJh3RIzm6Qk7HauhCg9j,Florent Pagny,0g7hZVprd3orBpMrSLWeJ9,Ailleurs Land,5IW71KAikTujML1ZNOnSzg,53,not available
31,Jeune demoiselle,42apdJFDH65Ew9RVuldbrb,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,55,https://p.scdn.co/mp3-preview/3cee58ef94d01c04e7a116394ddc65415c31897e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Marly-Gomont,42SUjSOr2tsUmOIlYBX04Z,Kamini,0AFEmxYJqHfNUtADd6eWhc,Psychostar World,2mkgMkWDs1Xi2Sqzd4oxVF,51,https://p.scdn.co/mp3-preview/8e1bcbf726d61b25471d7775123550dc27a26731?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Tu trouveras,6kaD0ve95sXjnq6EITyVkv,Natasha St-Pier,1miK7RIscxXIgQgHQ0G7ch,De L' Amour Le Mieux,4eSOb60jr7Q9nKQbLZXhCD,51,https://p.scdn.co/mp3-preview/4585fac67d47ab71f1e01620a428991742d7aec9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tu seras - Single Version,4XR3HHhd1mYXcDcPcFEUx9,Emma Daumas,0oT6Mh0CaikcCfNREZjlsC,Tu Seras,6GzjhPgQh9EaLZScfQoeLM,43,not available
35,Elle te rend dingue - poom poom short radio edit,6Qku7tQdLiYsh31kFbTtId,Nuttea,65LSKdbofg1NdWkaLSVXKc,Elle Te Rend Dingue,71rIAc8OBcGtpf5OfOmBd4,52,https://p.scdn.co/mp3-preview/06353679ef011293f41d2c67c9c612e9a0ca4899?cid=fa83a2fec7c440b7a2795d600d6b2c7e
