Rap Diggers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,31009,spotify_france
1,Fendi,3VGfCY28Yn6nI2TYQimtUg,Geeeko,56sq0vXlZmTpjbEReOfhMX,Fendi,36nOxiEIwUGG9x1CgfWWn1,32,https://p.scdn.co/mp3-preview/5122513e8f8937f12e6edc384098c2c9409904f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,San Pellegrino,30Mqfip5b5lCDpCLRvsrTq,Chily,0mnNM5o7vtxo3ivC7Tmoah,San Pellegrino,7BX8PGUERQDbB6D6z5336o,73,https://p.scdn.co/mp3-preview/d6057399dbb47217963beb09ebff357f06cb23cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Deuxième salass,4hW09v28AZ9Wa2UQnqZCzZ,CG6,3i3yb6Daaf3z6OLKvMFqlK,Deuxième salass,4BeC8WU87D0TtdMfEcLrjz,38,https://p.scdn.co/mp3-preview/2087208e348d2c70e0808f9bf694c692d726fe5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,T¥,1Shcyt3JmAJMui7VfKkc8r,Tyranik,3CoOwY48baqRzvBmWNcYW0,T¥,5RwRYDbCLaf4ZweO7cYrpt,40,https://p.scdn.co/mp3-preview/36ac0c18e0f874a48ea437a0f0d17895d539ca02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Fuck le world,20t9eUoC3rrrD2QHPyHASe,Smeels,6FyY3mlFrDdKUX35GrzeOZ,Fuck le world,3Ws3U9yrHinDAhoxBu5bJQ,36,https://p.scdn.co/mp3-preview/b5460dff221995554c446800ef91292bb1a04673?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Rayon gamma,7a5zpJ8cFZF35v5UWERFTr,Josué,4Bb3vJgKsgjMmxDEElLZ1Y,Rayon gamma,5RGsWD1uUHGuCs8gsyAuQW,22,https://p.scdn.co/mp3-preview/fca981ee48d0b1e96dcb77735c477cc3e545f9c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,4 Life,13UelWKczHvCSHWvmjpzfx,Dinero,5ww4TnrPAbSUOE0kvRjuoB,4 Life,5txByEP5YRYaEtLONRmdVC,28,https://p.scdn.co/mp3-preview/b1f6e1e961d886522b358c565b6e83a4e49a878a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Ferrero,48IWXwvIjuJ3Wqc8wP0Nvb,Striky,2z9aSOsIU7HPmrtQRcRQx0,Ferrero,1slgxvGA50AcgM6pZIwoTy,22,https://p.scdn.co/mp3-preview/dc77a4a5af59b6e033d34b8535a0666ba3ac1e51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Les Deux,6mkPamqjVAgiCPlIqf1ZZR,Furlax,4bmXnAfcFe859ozMNFpFok,Les Deux,2Ki5p28AAVIgFFXQ5Dwluc,38,https://p.scdn.co/mp3-preview/07de2506c626a24ce2c069602f886c678ff8ddc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
