Pop Collection,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Feel So Close - Radio Edit,1gihuPhrLraKYrJMAEONyc,Calvin Harris,7CajNmpbOovFoOoasH2HaY,18 Months,7w19PFbxAjwZ7UVNp9z0uT,75,https://p.scdn.co/mp3-preview/1bb301a77b9116d35a5dfba254d7756482f565dc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,On The Floor - Radio Edit,0Oe49j06Bjrxs8PltuVeaW,Jennifer Lopez,2DlGxzQSjYe5N6G9nkYghR,On The Floor,543NK5YT3RjGmP7nFzWJPm,74,not available
26,Some Nights,67WTwafOMgegV6ABnBQxcE,fun.,5nCi3BB41mBaMH9gfr6Su0,Some Nights,7m7F7SQ3BXvIpvOgjW51Gp,71,https://p.scdn.co/mp3-preview/ffc0e31e3685cae5ed9b05c2a506da3f3e9ee2ab?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,I Follow Rivers - The Magician Remix,6UAgnw2w3AVwLg1p7sE7v4,Lykke Li,6oBm8HB0yfrIc9IHbxs6in,Wounded Rhymes,2eEnzl61veDi3zQylslIap,60,https://p.scdn.co/mp3-preview/0c6e2d9b741146f2f24982a0a5cfb9c2086ed136?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,"Watch Out For This [Bumaye] [feat. Busy Signal, The Flexican & FS Green]",4OiSZWCsN6Hy7SmHMzplwe,Major Lazer,738wLrAtLtCtFOLvQBXOXp,"Watch Out For This [Bumaye] [feat. Busy Signal, The Flexican & FS Green]",1vHczxOe2sz84A3TK5cfdK,3,not available
29,Shake It Off,1kKlhuQE0HXp1IwBRpaH2P,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1989,5fy0X0JmZRZnVa2UEicIOl,53,not available
30,Locked Out of Heaven,5PsMbxhgWpJMsouEfDTX6r,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,Locked Out Of Heaven,3oP7uWUlDux6jlHTRlu0FC,46,https://p.scdn.co/mp3-preview/c647489f28d840b545b90e10067012f504dc7b68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Can't Hold Us - feat. Ray Dalton,3bidbhpOYeV4knp8AIu8Xn,Macklemore & Ryan Lewis,5BcAKTbp20cv7tC5VqPFoC,The Heist,76FXHQhTuT4QMIxfL09gX8,82,https://p.scdn.co/mp3-preview/1f826380a449ec9a8bae45967d908fffd7ff5222?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Hey Ya!,3AszgPDZd9q0DpDFt4HFBy,OutKast,1G9G7WwrXka3Z1r7aIDjI7,The Way You Move / Hey Ya!,7etFl9qeqjD0luC40JAg8l,66,https://p.scdn.co/mp3-preview/6c69ee9ec863053388b7c06fea9f42a66775acbc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,We Found Love,6qn9YLKt13AGvpq9jfO8py,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Talk That Talk,2g1EakEaW7fPTZC6vBmBCn,75,not available
34,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit],6hFYIJDwADard4Z8dvlpzp,Asaf Avidan & the Mojos,2TwepUY7feaTuipStcyzLZ,One Day / Reckoning Song (Wankelmut Remix),4aUQP9kw5kVQyCcCiC2yVv,10,not available
35,Sorry,69bp2EbF7Q2rqc5N3ylezZ,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),7fZH0aUAjY3ay25obOUf2a,22,not available
36,Happy,6pAh09a7Dp2KiYZSspTLLv,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,Happy,1cH4YlAyj4dtofkNil6iGl,2,not available
37,Counting Stars,2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Native,20lOt6G8MHv8ZO7ViOmiP7,80,not available
38,Rather Be (feat. Jess Glynne),3s4U7OHV7gnj42VV72eSZ6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rather Be (feat. Jess Glynne),4UB0J5V3JsZZtNR360pZ6r,73,https://p.scdn.co/mp3-preview/a9d9d2d68603e22dd2f04693c8e29e4f5823e09f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,No One,6IwKcFdiRQZOWeYNhUiWIv,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,As I Am (Expanded Edition),6KlxyxhXEDo1LdheFulN7h,80,https://p.scdn.co/mp3-preview/319836ba32dfc550e7818c95885382c3bf1da61a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Sugar (feat. Francesco Yates),5tf1VVWniHgryyumXyJM7w,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,Sugar,5XyJzEROSmup2TcWmVjTIt,77,https://p.scdn.co/mp3-preview/c4b6941542e99f1a0cf480d6b1ed033be783a3fa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Lights - Single Version,2bRXehD283NioREYxlohc4,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Bright Lights,6AXqxvuCq4UMmOB1r24mui,10,not available
42,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p,Major Lazer,738wLrAtLtCtFOLvQBXOXp,Cold Water (feat. Justin Bieber & MØ),3o99825qhG7K7D07naRs4F,21,not available
43,Uncover,3DQisSEr1TLp9H0BEeKiQS,Zara Larsson,1Xylc3o4UrD53lo9CvFvVg,Uncover,0vXJ3rh6Sy7KWjp2P5d7ll,66,https://p.scdn.co/mp3-preview/1ee901eae93c71f55bcdcd7ebdac8c203239d305?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Irreplaceable,3qim3nNFg4aSTLZDLAFXhx,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day,1L6sJLS18bJTadBupSYFAp,59,https://p.scdn.co/mp3-preview/8345de4efea404805ce083a3fba15d6ca7c9e862?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Hey Brother,3zKST4nk4QJE77oLjUZ0Ng,Avicii,1vCWHaC5f2uS3yhpwWbIA6,True,02h9kO2oLKnLtycgbElKsw,21,not available
46,You Know You Like It - DJ Snake Remix,4HfykP9fjZZJC3WBwFArb4,AlunaGeorge,2VAnyOxzJuSAj7XIuEOT38,You Know You Like It The Remixes,4VWZWMHGtzdYAV065WxbIR,3,not available
47,Thinking out Loud,2L6ypr3l5t5mLkY3lXIpZE,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,x (Wembley Edition),0MeOIA0wwSa6nW79jy8QcZ,62,https://p.scdn.co/mp3-preview/7fba47d0806142cb34ad2080a5f139eba915fe05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,0EmeFodog0BfCgMzAIvKQp,"Oral Fixation, Vol. 2 (Expanded Edition)",5ppnlEoj4HdRRdRihnY3jU,81,https://p.scdn.co/mp3-preview/3859547944f57cfb7b996f6551148c9467889d4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,We Are Young (feat. Janelle Monáe),3ehrxAhYms24KLPG8FZe0W,fun.,5nCi3BB41mBaMH9gfr6Su0,We Are Young (feat. Janelle Monáe),7dXu1oLf9VPkCsBvXxz4Oe,63,https://p.scdn.co/mp3-preview/af96d9b11588ea7d7754ccf2a8cefa7ead23a7d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Birthday,0ktV2JoOsoTGURzKaZnjJL,Katy Perry,6jJ0s89eD6GaHleKKya26X,PRISM (Deluxe),4lFDt4sVpCni9DRHRmDjgG,6,not available
