Fresh Variété,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,118033,spotify_france
1,Perdus,7eMBDipvMwVnYiMe0yrS5x,Angèle,3QVolfxko2UyCOtexhVTli,Perdus,4wFRyp4PoR2DOJ639l9NVv,64,not available
2,Avant toi,4iNPp0BZ4lBu7bipdWLcWk,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,VersuS,5DD7BStcOFBl3i9z1fyr7e,60,not available
3,A nos héros du quotidien,4zKqWCgGqwWlfJTNaj2R19,Soprano,2RJBv9wXbW6m539q9NOfW1,Phoenix,0ejCopVV0wK3D6rrlVBOpu,48,https://p.scdn.co/mp3-preview/5dd99fa635181adcda8e8a2b812f3c6c107572b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ma vie,5eO93haeVLJQPnbazR3bLd,Dadju,4sbXXFzEWJY2zsZjelerjX,Ma vie,1yGxpnp9OVn1uvFhkWedas,58,not available
5,L'effet de masse,4fSA3mzz5XrP9HUh08troc,Maëlle,5Ha8JdCWeJ8vdqEhzgiSU5,L'effet de masse,3F0yjkSkMdR2aGUJarGdoE,48,not available
6,Essayer,1BJEH25iCCTgTXkod9k6c7,Arcadian,6AsX53NZ0rVrVnlKLy1KvR,Marche ou rêve,7e563NodwxSoe4CF2PWVX6,39,not available
7,Dommage,6DvgBnwlJ61ck4jiwTwhZl,Erza Muqoli,2LaNU9yZUvApYGMs7lw9bt,Dommage,4CxzSRAFtosbueBg5J70fX,46,https://p.scdn.co/mp3-preview/8a4eb3dcfe58f1507fe57588e7ae0c8284947022?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Mama,7yeljpTXBjT2hAAJoyoPjP,M. Pokora,6euPnGzBlDysAC5ecVguNZ,Mama,5d2tbsVi7zQlZzKfdDVRip,31,https://p.scdn.co/mp3-preview/fbb27be6ac82ac3959ff32ecc1971fa85ceefa3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Les gens,2RgPLOszO0KYOIeA8LxrE6,Christophe Maé,7jgnJBnpZTiGnCF2Wvka2Z,Les gens,6aoPSt2NivHfTrBmF4F0Ch,59,https://p.scdn.co/mp3-preview/0cde0bd7a0b5613463b8e5614b3d0e5031a5e1ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,L'hymne de la vie,03JIJMS3xCvi6Z8mTICOMq,Kids United Nouvelle Generation,3GjGdUg7HGaoqwMzFBbdqt,L'hymne de la vie,5zi8FmXgjmC42cCCRsAbzp,39,https://p.scdn.co/mp3-preview/b3c0e1fe42ac18aa6f7df5ae9e3b3d8b489aaa34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Y'a plus de saisons,3Ue3LFw5y6xNRW3b9Jt63Q,Gauvain Sers,3lx6C79jX79Qzo6yoC5Pyk,Y'a plus de saisons,0Fh7cMnO4NvCcZ5DA7pVfC,42,not available
12,Ainsi valse la vie,1WWliyTPKrrtyvEkB1kHN2,Black M,7lMgpN1tEBQKpRoUMKB8iw,Il était une fois...,1BH6jMwEcgBBGQasjtJ2n9,46,https://p.scdn.co/mp3-preview/6cb3225d9e1e989eb6d3d60ace057c6c4cc02a43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Accroché à ma terre,7e7nrHmEL2wwe5qb3oVLG8,Les Frangines,2sYOUJa6fNc4ke4Zo6EkZ4,Accroché à ma terre,1cRLAHnL6LlApbzJNd5sAh,49,https://p.scdn.co/mp3-preview/b8bad13017ebda2fb10fcba4a3f32f8113feee72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Loin,1qx1lBNJXB4nOvJhYl1Vn0,Noroy,0FCAKInZeSi1on1FlSPoxt,Loin,2ikL5sntz3G6sqTqpukNBC,37,https://p.scdn.co/mp3-preview/1790f9816fafba326cca6e12de358dd09ebb2319?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Mon héroïne,3W38mligydw24RmWQlqTGP,Joyce Jonathan,25eQCECJH4VTpBYV9jhpyE,Mon héroïne,5CUh80VlOh5NopAlFfyT9R,48,https://p.scdn.co/mp3-preview/785c772a85c812d4f49b57f18b87ef70fc4c062d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,C'était mieux avant,52ZKOr9ddG7C6iAkXplq9F,Mikael Vigneau,7etM46AS8HLTharyt6Xrvc,C'était mieux avant,37F6mn1mg6lRseQlsumNVr,42,not available
17,Parle à ta tête,3lTGqzJbMYDHXbqeV8pt7d,Indila,0FEJqmeLRzsXj8hgcZaAyB,Parle à ta tête,1KEfoqJ2dbtfB6jSNFpByF,59,not available
18,A l'envers à l'endroit,28CPM8YSs2ExyGwAm84G2P,Delta,3D7ENEgB9uIGox2uZTSL2R,A l'envers à l'endroit,3WuFYCtcSEaneZB573DSpw,38,https://p.scdn.co/mp3-preview/ba7f5c2d2535e0ff1c9b1df90c1aa467fa242274?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,On oublie le reste (feat. Kylie Minogue),6kKV3A9BEeGMFQmaD5TKVe,Jenifer,7p0bICJNx2HM4jS28qexvv,On oublie le reste (feat. Kylie Minogue),45GVl0GDQi9VJLhaG8YrjD,47,https://p.scdn.co/mp3-preview/f63debe03980208422fa49799411399872f17660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Fais de moi,5hQxZAxapyGvCiE4hcrUdP,Dilomé,2eZdvNDtGzefa9sFgBgX1v,Fais de moi,4ocJQBoHuVPpqyzhD0AjLT,51,not available
