Classiques du Rap Français,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,J'pète les plombs,5onlhFwHJhp0ff2tPju2X6,Disiz La Peste,7rz6ZZErn5YFDteXKhyf3g,"Le collector, Vol. 1",7KXG0Bm2zU9B6WpfRpFmiM,48,https://p.scdn.co/mp3-preview/2efdebcb16b085de2b5d2665a6bcb6e53289da39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Je danse le Mia,3vTgQBHiLsJ40XpQlQxlhG,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,8,not available
18,Bad Boys de Marseille (feat. Shurik'n) (Pt. 2) - Part 2,5q0tqXhUKqwBxissPvia6X,Akhenaton,4ddg7PH5OuSossiSBWgueu,Double Chill Burger (Best of),1zK7QIHZVnGQqhlxqe7rI4,47,https://p.scdn.co/mp3-preview/3f5ef320f640c866fb57a712c4c74f4a2b0831de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Pitbull,4xUo6mxLoEyg5VQgk057BD,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,34CsUCcaxu6Yorde5fRdTU,2,not available
20,Laisse pas traîner ton fils,19wTIVLYwubMX8XZppB6lH,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,47,https://p.scdn.co/mp3-preview/828a5bacfbf2656c3580a4c133e3d079e8e80975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,L'etat assassine,6RLuzPwgmW10FmSz19sTXL,Assassin,5zbzDats0HBBPuir5QWKWm,L'homicide volontaire,4TXSQhd8oKnE8uOgA2dDUS,33,https://p.scdn.co/mp3-preview/62d3bd7b93d7bb6e3fada39c490c0f05aab9af83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Sans rémission,7njnsewQzFssYI6F1RGwhn,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,46,https://p.scdn.co/mp3-preview/83db6cc31e5446b7a2c158623791d6080947baa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Respect (feat. Vinia Mojica),2uMb8n60MeFa6bjjjCzL49,Alliance Ethnik,2dZM3D9rBveK3dywr1WQkN,Simple Et Funky,73WyrLGzIT98p72VVYUY0Q,57,https://p.scdn.co/mp3-preview/95102ea9050702cdf9e96f0811c96c9dbf8aa5d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Banlieusards,461K9NwFNjnyZBtrn1EIlo,Kery James,5ydAcIK2KdpBIbL0yGFJle,Banlieusards,2DTuHdlwyaDJyNW2uUygGv,0,not available
25,Ma Benz (feat. Lord Kossity),4G01edX97eZlCmEbYewboU,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Suprême NTM,3eG7SaLEdlmKLapewG6m4J,50,https://p.scdn.co/mp3-preview/f1effd558c0e7c46c8d9fd12257d40fc6fd45d19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Nirvana,3p2Ns1VqiDyv9vLuBp1e0Z,Doc Gyneco,4GX9CqwqWtb76wuXwbXR6b,Premiere consultation,3UACOTg56TwfNelPFsdGAg,41,https://p.scdn.co/mp3-preview/b2b88a1c59226d574329fadc04250e6488462d21?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Art de rue,6Xo7NrY0dDj6pQQ2XIph1Y,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Art de rue,3vm7lXWJ4HxzKEVZ6hhg8o,49,https://p.scdn.co/mp3-preview/511557c1f3386cacd3569263d797e6f3f1da423f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mon papa à moi est un gangster,230WQfgxWrDowOttZT7Lhq,Stomy Bugsy,6vDYFCXQbWPqlUEyBaVbMW,Le calibre qu'il te faut,5IuN6I7Al7EaSNEhlE2SMe,46,https://p.scdn.co/mp3-preview/09084d794ed3abb763b3f4024144971c3eda7155?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Nés sous la même étoile,66ZtqKhYSA8XyPr0aAUFsm,Iam,56Q6weEROZ1RsVrTak8Bm7,L'école du micro d'argent,3atPIVCVIIgak6KeB1ANnK,52,https://p.scdn.co/mp3-preview/30928e55b5c88c50769af85b6a97a85792c5d5c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Mama Lova,1ncangkVrHn7tJfx605E2C,Kheops,7g9QCyx9r1R424eMqNtM2g,Sad Hill,2IukeSRpZNwUXnQq20BDjz,45,https://p.scdn.co/mp3-preview/4a8f208c28364da8df900fbcea9b093b10550836?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Les princes de la ville,4zu2xquA7ZcrjPZylino4Z,113,5nTMNNNwQMoCYgzUXdUaB6,Classics du rap français,5l2SmT405p4eX3IFosyH01,1,not available
32,Aux absents,7Ju7o5JW1JIPJlnJMj42bY,Fonky Family,1BTmMBPzv3zEO3f6ilFoct,Si Dieu veut....,7faOppIh2FNdRrHjhXw7ql,37,https://p.scdn.co/mp3-preview/6ebe34025631a41035b7247acd3d414ffd358f2c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Le Crime Paie - Remasterisé En 2006,2lZ2ASijYcN2SX8XUAL7n7,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,45,https://p.scdn.co/mp3-preview/f1fc423d016a73db93f7844db5a06a0373c9e656?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Hardcore,3vIWJsJZGK444LJqWGzjIU,Ideal J,6knHYSqYjjguJjD5SvjrLx,Le combat continue,3Oa2f7OpXEev1kfnbcKlO6,40,https://p.scdn.co/mp3-preview/7a39a40ed5191291f2aa1aefd2bae26dd5d34968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Le maton me guette,0kcF96pmA8PX5ClqyFpEtG,Passi,41o2A93SPxIUxsy5HQjvul,Les tentations,6x6I3lpDmXNGGrRdaC6ktL,44,https://p.scdn.co/mp3-preview/ede6e60b2ca7fc1cda8ae57b4533583e6b830ee1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,"Mon texte, le savon",4dJB9vWpBhhtTOEBiKJvau,Akhenaton,4ddg7PH5OuSossiSBWgueu,La Face B,36p4RiYunWHIvToknXf4ru,32,https://p.scdn.co/mp3-preview/ffa1dc5993f6fd5628cc5388586dc5580feb6b92?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Police,7Ky2dmKkP5BZN0T7bAXpd3,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,1993 J'appuie sur la gâchette...,3um5JXs6dZ3fGukr4uMJoV,35,https://p.scdn.co/mp3-preview/856e4ec6127fa5af6cb1eb90a64f5a90e31e1add?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,"Demain, c'est loin",4C4tuRmDTMz875IFJiqIpy,Iam,56Q6weEROZ1RsVrTak8Bm7,Anthologie IAM (1991-2004),2jEJLiF5RE2JSCju5x6Avw,1,not available
39,Pas l'temps pour les regrets,2wbOsLvN17xwcNsOLFZdBy,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,0qc2G99LJTbEeSBuTcVqZ9,0,not available
40,Tout Saigne - Remasterisé En 2006,4YtpY8Hv0bwv84vfvONOwz,La Clinique,47NHcwh7V1kVlxr9Co6k1r,Hostile Hip Hop,4g7S5MgKfp8d09X98KAUEm,43,https://p.scdn.co/mp3-preview/e684e7c07e904aa5a39abd729ad49812a993dee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Boulbi,5NfigFlUBUEBgMFOq1rfkB,Booba,58wXmynHaAWI5hwlPZP3qL,Ouest Side,3yT2JhKAfo78iIqgEkZNVw,55,not available
42,Deux issues,63M7jLGXTWT9axGYkj95zB,Kery James,5ydAcIK2KdpBIbL0yGFJle,Si c'était à refaire,78VqFYI3k6y8NB7j8uJ9zK,0,not available
43,La 25ème image (feat. Daddy Nuttea),4VeouVb5Mgoqk6cDbxWokx,Iam,56Q6weEROZ1RsVrTak8Bm7,Platinum,11IUSZF0DCUh4mjEbKO2M9,36,https://p.scdn.co/mp3-preview/dd68ca7ba93bd4492b9c6b616fc6c541d17c9e9c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Civilisé,1zCFKBMX7lWA3RnRSXEzvi,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,0qc2G99LJTbEeSBuTcVqZ9,0,not available
45,Aiguisé comme une lame,4JTviRADkTsRQiP2XciEXn,Raggasonic - NTM,6bqUlAEF6W29zSunM9jJxs,raggasonic,2X2celqGIyavwzarmQaPG7,41,https://p.scdn.co/mp3-preview/28eada16a65427010883f0d882a1afc054be2f80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,L'impertinent,4noS6GiHvecd2uXwYJBPR0,Fabe,5Jh4UFOCWwleD3kcd88xyh,Détournement de son,0Xm6bbsRBZq7puPAveJF0a,37,https://p.scdn.co/mp3-preview/4533c8bb1b3add2b64017363f43aaa7c5df3eb37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Regretté,6W1MYXhhqO5IuIovuXp7Na,Rohff,32UhRcgdXO6LdLhOpfIdxp,Au-Delà De Mes Limites,75ATPVeLbZcI8awnPVNAqK,46,https://p.scdn.co/mp3-preview/c6cd21d90b177d0a532359514ce95ff91dd8de0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Dj,4D0dgZLZWkaWG25NBuxOfS,Diam's,6379rD5bSEwInazkKhZ9DM,Brut De Femme,36WsF1tlYfQtOSiU3Tozb7,55,https://p.scdn.co/mp3-preview/3076c01e9b03fec8293c61bc442e707baf38bc80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Le son qui met la pression,76DF3UwkIRBJLNuZdNuK4I,Lunatic,2T94BUd6X8J1G5EfJj3hZr,Mauvais Oeil,6nZsCBcWr6n6ZtmBmdJz96,0,not available
50,Un dernier jour sur terre,4aMJKZCyF3otus1wgHJKS8,La Squadra,40FueTBN4wc87k8J9n5jLT,"Cut Killer Show, Vol. 1",6t7jD99HppY4eG49oywEkt,26,https://p.scdn.co/mp3-preview/d689001f1d7d362724ac7b67e178c0efc6785c28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
