R&B FR à l'ancienne,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,83530,spotify_france
1,Parce qu'on vient de loin,1wthYeOSBWfUYeCqhYcGt0,Corneille,2GBDOaCl73BVUs2RerIme7,Parce qu'on vient de loin,5VMa7BgPzwjGfEPiGaJSPv,53,https://p.scdn.co/mp3-preview/5bde8575c009a3bd17a7a1b2bafbdd5325515ce2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Qui est l'exemple ?,77pB3BxEgaSZIbJ4uQflS8,Rohff,32UhRcgdXO6LdLhOpfIdxp,La vie avant la mort,1q3iVUJaoIi3LWeiD3FUrf,57,https://p.scdn.co/mp3-preview/c07af0e4cfec901f0c62b598c5ce1cdc325e55cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Je me Bats,1IIPc8bQPDticwOG8Oullw,Kenza Farah,6WBf0WXqyBkCCYAEPUeDxn,Je Me Bats,1QpAVbg8Hp6tMzEjegIjf1,40,https://p.scdn.co/mp3-preview/cda927109bcb8f3ff9fefa400beb75a5704b2212?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Pom pom pom,5068IJEz3vdwLFRH5iWlmW,projet facteur x²,6uQLXI6jetBSHf1NFXpAV0,Pom pom pom,7DfLBYGROasIXvRDu9SPWz,44,https://p.scdn.co/mp3-preview/9bdfc8ff0ffc945301b26246f53988e887e3b213?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Le fruit défendu (feat. K-Reen),0WaVo0Fu6RDtZPIhPSagjb,Mystik,5x8YMWd2tIBdDzuIJM6WFi,"Generations rap français, épisode 1 : les grands classiques du rap français",76VXFrRw9DoD3VB62UQSxj,25,https://p.scdn.co/mp3-preview/30d5d6063823c26b626e19eb396e0b061bb29407?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Angela,7HkAJlrDqGvFA880bbgFlJ,Saian Supa Crew,6XaUaXu0cGAFK1AlQkl1b6,Saian Supa Crew,273SOILQldyBoIEnEkUX4d,55,https://p.scdn.co/mp3-preview/e33c21a3250d6021100f27f86111e3300ac47a83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ecorchée Vive,5gdwHpP3sLvkSfBsXzd9QH,Kayna Samet,3qLpAs6VLppZrKlI0CXK6k,Entre Deux Je,0qgYgPSWbmfdewh401TI2h,38,not available
8,Mes Rêves,54B96Al4FqH3L4RsSGIqtk,Wallen,2mKRkeMQIuHBV0oaXuil4S,A Force De Vivre,7bN63BRSnarmGPYsYS8kCO,33,not available
9,Hey Oh - Radio Edit,5Lc24nn70WSNSHfk9tAEtz,Tragédie,6EysjvvcafloXNdLkwuGLm,Tragédie,7DzrujJilgfRg4dIrf56I2,57,https://p.scdn.co/mp3-preview/16ee0e92ad71f4a86868ff40edcf34f0ef6473d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,R&B 2 Rue,59DfPIDioIs5WolSQNPID4,Matt,6ElYQTPVqau3RR3D8Xd2Nl,R&B 2 Rue,5oSt99FmZrQjLaFoKJRTdW,4,not available
11,Nous aurions pu - Remasterisé,6GDVGliKVmTroIcAOmgCb7,Oxmo Puccino,44bvfFf9VeGwVjK0QDqQ7O,Le cactus de Sibérie (Remasterisé),3YFrnrH1JTP5VkTDYjlg1l,37,https://p.scdn.co/mp3-preview/39de0066756da1cc7c31c7e87bf5c96d523ad5ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Confessions nocturnes (feat. Vitaa),0C9qil6cXEEJ8AzrMUEHv6,Diam's,6379rD5bSEwInazkKhZ9DM,Dans Ma Bulle,1ZlqqgXvzlq8kZBKsY0hWO,60,https://p.scdn.co/mp3-preview/5999a398d7e7710efe724618e852716c48fc4afb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Trop peu de temps,3Z1dOVkyrqTh6CuDluKDcc,Nuttea,65LSKdbofg1NdWkaLSVXKc,Un Signe Du Temps,5iD8C1m1DTA9FrjVtJAsnL,33,https://p.scdn.co/mp3-preview/8f304dd4c2f95d5c6e88dc66865823510dfeed1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Le fruit défendu,5SteThTPwFkssBFVBLfKc4,Mystik,5x8YMWd2tIBdDzuIJM6WFi,Le chant de l'exilé,14bryAJq0q3oVmlwCbBaaP,44,https://p.scdn.co/mp3-preview/28c706dc4e26c2eed2af5a55d01edbf595569b29?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,A fleur de toi,2mT0YKSgM8ie4Irf0gkuPA,Vitaa,0Ntl0oWMPWfBOoi9Qcr9ht,A Fleur De Toi,6dTWgsiYPk2goK88co2CGf,56,not available
